	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa-miR-425-5p	235.498858429263	249.025906240489	293.465581912656	55.6662695806103	386.422976501305	329.480832345604	114.938124976055	143.429342456148	285.377762327022
hsa-miR-126-5p	229.511599316654	88.0394618021929	140.567547638835	33.3997617483662	177.545691906005	124.090183610682	54.7324404647879	138.117144587402	132.311507987983
hsa-miR-30a-5p	213.545575016365	160.986444438296	478.422881437439	189.265316574075	219.321148825065	192.553733188989	459.752499904218	239.04890409358	168.632314102331
hsa-miR-22-3p	211.549821978829	128.286072911767	189.889494178777	77.9327774128544	182.767624020888	269.575226464585	76.625416650703	180.614727537371	391.745837376185
hsa-miR-629-5p	193.588044641004	231.41801388005	194.821688832771	133.599046993465	308.093994778068	308.085973102383	54.7324404647879	31.8731872124773	503.302599013112
hsa-miR-106b-5p	189.596538565932	128.286072911767	273.736803296679	44.5330156644883	308.093994778068	278.133170161874	180.6170535338	79.6829680311932	809.43510769119
hsa-miR-130b-3p	175.626267303179	85.5240486078446	140.567547638835	133.599046993465	93.9947780678851	132.64812730797	16.4197321394364	69.0585722937008	184.198373865623
hsa-miR-99b-5p	157.664489965354	284.241690961366	212.084370121751	122.465793077343	161.879895561358	145.485042853903	311.974910649291	159.365936062386	168.632314102331
hsa-miR-484	157.664489965354	113.193593745677	130.703158330847	89.0660313289765	88.7728459530026	149.764014702547	76.625416650703	74.370770162447	319.104225147488
hsa-miR-503-5p	153.672983890281	17.6078923604386	24.6609732699711	189.265316574075	67.8851174934726	51.3476621837305	21.8929761859152	58.4341765562084	287.972105620904
hsa-miR-151a-5p|hsa-miR-151b	151.677230852745	100.616527773935	72.7498711464147	11.1332539161221	83.5509138381201	109.113782140427	32.8394642788727	87.6512648343125	106.368075049163
hsa-miR-340-5p	147.685724777673	83.0086354134962	73.9829198099132	66.7995234967324	156.657963446475	77.0214932755957	54.7324404647879	37.1853850812235	95.9907018736347
hsa-miR-152-3p	141.698465665065	88.0394618021929	113.440477041867	55.6662695806103	193.211488250653	154.042986551191	98.5183928366182	100.931759506178	142.688881163511
hsa-miR-15b-5p	137.706959589992	60.3699166643609	150.431936946824	166.998808741831	114.882506527415	102.695324367461	43.7859523718303	15.9365936062386	168.632314102331
hsa-miR-5189-5p	127.728194402312	70.4315694417543	19.7287786159769	22.2665078322441	36.5535248041775	47.0686903350863	0	0	72.6416122286965
hsa-miR-130a-3p	127.728194402312	70.4315694417543	73.9829198099132	22.2665078322441	57.4412532637076	42.7897184864421	54.7324404647879	74.370770162447	145.283224457393
hsa-miR-223-5p	123.73668832724	35.2157847208772	71.5168224829161	66.7995234967324	93.9947780678851	72.7425214269515	16.4197321394364	42.4975829499697	44.1038359959943
hsa-miR-379-5p	123.73668832724	15.0924791660902	86.3134064448988	0	182.767624020888	55.6266340323747	5.47324404647879	42.4975829499697	98.5850451675168
hsa-miR-215-5p	118.747305733399	31.4426649293546	244.143635372714	22.2665078322441	109.660574412533	72.7425214269515	27.3662202323939	53.1219786874622	16.8632314102331
hsa-miR-375	117.749429214631	7.54623958304511	44.3897518859479	0	36.5535248041775	25.6738310918652	16.4197321394364	69.0585722937008	18.1604030571741
hsa-miR-9-5p	117.749429214631	0	4.93219465399421	0	0	0	120.411369022533	0	7.78302988164606
hsa-miR-193a-5p	113.757923139559	52.8236770813158	91.245601098893	166.998808741831	62.6631853785901	98.4163525188168	103.991636883097	47.8097808187159	23.3490896449382
hsa-miR-139-3p	109.766417064487	37.7311979152255	27.1270705969682	22.2665078322441	41.7754569190601	4.27897184864421	10.9464880929576	31.8731872124773	23.3490896449382
hsa-let-7e-5p	103.779157951878	100.616527773935	92.4786497623915	33.3997617483662	88.7728459530026	94.1373806701726	79.3620386739424	23.904890409358	95.9907018736347
hsa-miR-664a-5p	95.7961458017339	60.3699166643609	69.050725155919	0	52.2193211488251	47.0686903350863	0	26.5609893437311	28.5377762327022
hsa-miR-483-5p	95.7961458017339	17.6078923604386	27.1270705969682	44.5330156644883	62.6631853785901	17.1158873945768	0	106.243957374924	46.6981792898764
hsa-miR-382-5p	93.8003927641978	47.792850692619	86.3134064448988	22.2665078322441	156.657963446475	89.8584088215284	0	31.8731872124773	88.2076719919887
hsa-miR-4732-5p	89.8088866891255	80.4932222191478	76.4490171369103	300.597855735296	62.6631853785901	59.9056058810189	21.8929761859152	26.5609893437311	202.358776922798
hsa-miR-100-5p	89.8088866891255	65.4007430530576	219.482662102743	33.3997617483662	135.770234986945	102.695324367461	399.546815392952	77.0268690968201	59.6698957592865
hsa-miR-432-5p	87.8131336515894	47.792850692619	66.5846278289219	0	130.548302872063	17.1158873945768	5.47324404647879	74.370770162447	62.2642390531685
hsa-miR-140-5p	87.8131336515894	52.8236770813158	83.8473091179016	0	140.992167101828	55.6266340323747	16.4197321394364	21.2487914749849	15.5660597632921
hsa-miR-181b-5p	87.8131336515894	98.1011145795864	160.296326254812	44.5330156644883	104.43864229765	121.95069768636	21.8929761859152	66.4024733593277	75.2359555225786
hsa-miR-29a-3p	85.8173806140533	50.3082638869674	226.880954083734	89.0660313289765	120.104438642298	111.253268064749	136.83110116197	58.4341765562084	80.4246421103426
hsa-miR-106b-3p	83.8216275765172	57.8545034700125	66.5846278289219	44.5330156644883	67.8851174934726	38.5107466377979	16.4197321394364	63.7463744249546	90.8020152858707
hsa-miR-28-5p	83.8216275765172	25.1541319434837	34.5253625779595	0	20.88772845953	34.2317747891537	27.3662202323939	42.4975829499697	28.5377762327022
hsa-miR-30a-3p	80.827998020213	35.2157847208772	73.9829198099132	44.5330156644883	41.7754569190601	25.6738310918652	16.4197321394364	84.9951658999394	47.9953509368174
hsa-miR-486-3p	79.8301215014449	32.7003715265288	39.4575572319537	0	31.331592689295	55.6266340323747	21.8929761859152	21.2487914749849	269.81170256373
hsa-miR-221-5p	79.8301215014449	22.6387187491353	22.194875942974	55.6662695806103	31.331592689295	4.27897184864421	5.47324404647879	15.9365936062386	23.3490896449382
hsa-miR-652-3p	71.8471093513004	65.4007430530576	61.6524331749277	0	36.5535248041775	47.0686903350863	21.8929761859152	74.370770162447	38.9151494082303
hsa-miR-197-3p	71.8471093513004	72.9469826361027	76.4490171369103	66.7995234967324	88.7728459530026	85.5794369728842	54.7324404647879	74.370770162447	49.2925225837584
hsa-let-7d-3p	67.8556032762282	10.0616527773935	36.9914599049566	33.3997617483662	26.1096605744125	42.7897184864421	16.4197321394364	15.9365936062386	49.2925225837584
hsa-miR-425-3p	65.8598502386921	27.6695451378321	36.9914599049566	11.1332539161221	41.7754569190601	55.6266340323747	5.47324404647879	21.2487914749849	10.3773731755281
hsa-miR-1307-5p	63.8640972011559	77.9778090247995	81.3812117909045	0	88.7728459530026	85.5794369728842	32.8394642788727	26.5609893437311	36.3208061143483
hsa-miR-4433b-3p	61.8683441636198	2.51541319434837	12.3304866349855	0	36.5535248041775	4.27897184864421	0	15.9365936062386	31.1321195265842
hsa-miR-320b	61.3694059042358	61.2083877291437	57.1312547420996	64.9439811773787	52.2193211488251	33.1620318269926	12.3147991045773	31.8731872124773	74.5873696991081
hsa-miR-19b-3p	57.8768380885476	32.7003715265288	86.3134064448988	44.5330156644883	31.331592689295	51.3476621837305	32.8394642788727	15.9365936062386	85.6133286981066
hsa-miR-155-5p	57.8768380885476	32.7003715265288	113.440477041867	33.3997617483662	67.8851174934726	38.5107466377979	16.4197321394364	21.2487914749849	36.3208061143483
hsa-miR-1307-3p	57.8768380885476	40.2466111095739	36.9914599049566	0	62.6631853785901	81.3004651242399	10.9464880929576	37.1853850812235	41.5094927021123
hsa-miR-6515-5p	53.8853320134753	12.5770659717418	9.86438930798843	11.1332539161221	10.443864229765	0	0	10.6243957374924	5.18868658776404
hsa-miR-424-5p	53.8853320134753	27.6695451378321	81.3812117909045	44.5330156644883	172.323759791123	85.5794369728842	76.625416650703	21.2487914749849	111.556761636927
hsa-miR-542-3p	53.8853320134753	37.7311979152255	61.6524331749277	55.6662695806103	99.2167101827676	111.253268064749	38.3127083253515	5.31219786874621	15.5660597632921
hsa-miR-598-3p	53.8853320134753	37.7311979152255	83.8473091179016	0	125.32637075718	85.5794369728842	43.7859523718303	159.365936062386	111.556761636927
hsa-miR-2110	51.8895789759392	10.0616527773935	0	44.5330156644883	20.88772845953	4.27897184864421	0	5.31219786874621	7.78302988164606
hsa-miR-363-3p	51.8895789759392	37.7311979152255	41.9236545589508	66.7995234967324	83.5509138381201	128.369155459326	21.8929761859152	31.8731872124773	184.198373865623
hsa-miR-30c-5p	47.898072900867	20.123305554787	32.0592652509624	0	41.7754569190601	21.394859243221	32.8394642788727	10.6243957374924	62.2642390531685
hsa-miR-10b-5p	47.898072900867	75.4623958304511	209.618272794754	33.3997617483662	88.7728459530026	72.7425214269515	268.188958277461	100.931759506178	85.6133286981066
hsa-miR-1292-5p	47.898072900867	50.3082638869674	46.855849212945	11.1332539161221	36.5535248041775	12.8369155459326	10.9464880929576	21.2487914749849	129.717164694101
hsa-miR-210-3p	45.9023198633308	22.6387187491353	7.39829198099132	11.1332539161221	31.331592689295	17.1158873945768	10.9464880929576	5.31219786874621	31.1321195265842
hsa-miR-222-3p	45.9023198633308	12.5770659717418	76.4490171369103	11.1332539161221	46.9973890339426	59.9056058810189	49.2591964183091	21.2487914749849	36.3208061143483
hsa-miR-769-5p	45.9023198633308	17.6078923604386	54.2541411939364	0	26.1096605744125	51.3476621837305	0	10.6243957374924	7.78302988164606
hsa-miR-339-3p	43.9065668257947	27.6695451378321	34.5253625779595	0	41.7754569190601	8.55794369728842	0	0	54.4812091715224
hsa-miR-127-3p	41.9108137882586	17.6078923604386	14.7965839619826	11.1332539161221	73.1070496083551	4.27897184864421	5.47324404647879	21.2487914749849	31.1321195265842
hsa-miR-29c-3p	41.9108137882586	10.0616527773935	46.855849212945	0	46.9973890339426	29.9528029405095	43.7859523718303	15.9365936062386	59.6698957592865
hsa-miR-409-3p	41.9108137882586	20.123305554787	32.0592652509624	0	99.2167101827676	29.9528029405095	0	10.6243957374924	31.1321195265842
hsa-miR-320c	40.4139990101065	32.2811359941374	33.4567204029274	25.9775924709515	28.7206266318538	16.0461444324158	6.84155505809849	13.2804946718655	33.0778769969958
hsa-miR-20b-5p	37.9193077131863	37.7311979152255	29.5931679239653	0	31.331592689295	59.9056058810189	49.2591964183091	5.31219786874621	159.552112573744
hsa-miR-3177-3p	37.9193077131863	10.0616527773935	17.2626812889797	0	5.22193211488251	0	5.47324404647879	5.31219786874621	23.3490896449382
hsa-miR-493-5p	37.9193077131863	2.51541319434837	24.6609732699711	0	36.5535248041775	17.1158873945768	5.47324404647879	10.6243957374924	36.3208061143483
hsa-miR-142-3p	37.9193077131863	65.4007430530576	91.245601098893	55.6662695806103	125.32637075718	77.0214932755957	27.3662202323939	31.8731872124773	15.5660597632921
hsa-miR-150-5p	35.9235546756502	37.7311979152255	78.9151144639074	22.2665078322441	73.1070496083551	21.394859243221	10.9464880929576	10.6243957374924	25.9434329388202
hsa-miR-107	35.9235546756502	27.6695451378321	32.0592652509624	50.0996426225493	52.2193211488251	44.9292044107642	10.9464880929576	5.31219786874621	77.8302988164606
hsa-miR-3928-3p	35.9235546756502	17.6078923604386	22.194875942974	0	31.331592689295	17.1158873945768	0	10.6243957374924	18.1604030571741
hsa-miR-15a-5p	35.9235546756502	17.6078923604386	73.9829198099132	33.3997617483662	36.5535248041775	102.695324367461	16.4197321394364	15.9365936062386	75.2359555225786
hsa-miR-576-3p	35.9235546756502	12.5770659717418	14.7965839619826	11.1332539161221	26.1096605744125	12.8369155459326	0	5.31219786874621	12.9717164694101
hsa-miR-625-3p	33.9278016381141	17.6078923604386	27.1270705969682	0	15.6657963446475	8.55794369728842	5.47324404647879	47.8097808187159	10.3773731755281
hsa-miR-144-3p	33.9278016381141	17.6078923604386	59.1863358479306	44.5330156644883	93.9947780678851	111.253268064749	71.1521726042242	10.6243957374924	230.8965531555
hsa-miR-1246	33.9278016381141	12.5770659717418	14.7965839619826	0	20.88772845953	8.55794369728842	10.9464880929576	31.8731872124773	33.7264628204663
hsa-miR-5187-5p	33.9278016381141	15.0924791660902	4.93219465399421	0	0	25.6738310918652	0	0	10.3773731755281
hsa-miR-3605-5p	33.9278016381141	30.1849583321804	32.0592652509624	89.0660313289765	15.6657963446475	34.2317747891537	0	5.31219786874621	57.0755524654044
hsa-miR-194-5p	29.9362955630418	17.6078923604386	73.9829198099132	11.1332539161221	52.2193211488251	51.3476621837305	5.47324404647879	42.4975829499697	137.500194575747
hsa-miR-125a-5p	29.9362955630418	25.1541319434837	36.9914599049566	0	5.22193211488251	29.9528029405095	38.3127083253515	26.5609893437311	7.78302988164606
hsa-miR-374a-3p	27.9405425255057	5.03082638869674	27.1270705969682	0	20.88772845953	17.1158873945768	27.3662202323939	26.5609893437311	62.2642390531685
hsa-miR-411-5p	25.9447894879696	0	7.39829198099132	0	0	0	5.47324404647879	5.31219786874621	0
hsa-miR-92b-3p	25.9447894879696	10.0616527773935	12.3304866349855	11.1332539161221	10.443864229765	29.9528029405095	16.4197321394364	26.5609893437311	44.1038359959943
hsa-miR-374a-5p	25.9447894879696	0	2.46609732699711	0	10.443864229765	12.8369155459326	0	0	15.5660597632921
hsa-miR-378b	25.9447894879696	27.6695451378321	29.5931679239653	0	78.3289817232376	21.394859243221	27.3662202323939	26.5609893437311	18.1604030571741
hsa-miR-381-3p	25.9447894879696	7.54623958304511	41.9236545589508	0	73.1070496083551	8.55794369728842	0	10.6243957374924	28.5377762327022
hsa-miR-330-3p	23.9490364504335	2.51541319434837	17.2626812889797	11.1332539161221	20.88772845953	12.8369155459326	5.47324404647879	5.31219786874621	15.5660597632921
hsa-miR-200c-3p	23.9490364504335	5.03082638869674	19.7287786159769	0	0	0	10.9464880929576	10.6243957374924	7.78302988164606
hsa-miR-361-5p	23.9490364504335	15.0924791660902	49.3219465399421	22.2665078322441	31.331592689295	17.1158873945768	21.8929761859152	21.2487914749849	18.1604030571741
hsa-miR-628-5p	23.9490364504335	7.54623958304511	2.46609732699711	0	0	4.27897184864421	5.47324404647879	5.31219786874621	7.78302988164606
hsa-miR-196b-5p	23.9490364504335	10.0616527773935	22.194875942974	0	15.6657963446475	8.55794369728842	21.8929761859152	5.31219786874621	33.7264628204663
hsa-miR-3615	21.9532834128974	50.3082638869674	44.3897518859479	44.5330156644883	41.7754569190601	64.1845777296631	5.47324404647879	21.2487914749849	41.5094927021123
hsa-miR-206	21.9532834128974	17.6078923604386	27.1270705969682	0	20.88772845953	42.7897184864421	405.02005943943	10.6243957374924	5.18868658776404
hsa-miR-1270	21.9532834128974	17.6078923604386	22.194875942974	0	10.443864229765	4.27897184864421	0	0	44.1038359959943
hsa-miR-30b-5p	19.9575303753612	12.5770659717418	7.39829198099132	11.1332539161221	26.1096605744125	21.394859243221	10.9464880929576	5.31219786874621	23.3490896449382
hsa-miR-328-3p	19.9575303753612	12.5770659717418	2.46609732699711	0	10.443864229765	17.1158873945768	0	15.9365936062386	10.3773731755281
hsa-miR-361-3p	19.9575303753612	17.6078923604386	17.2626812889797	0	5.22193211488251	21.394859243221	5.47324404647879	0	12.9717164694101
hsa-miR-18a-5p	19.9575303753612	0	17.2626812889797	0	15.6657963446475	27.8133170161874	5.47324404647879	10.6243957374924	18.1604030571741
hsa-miR-128-3p	19.9575303753612	17.6078923604386	17.2626812889797	11.1332539161221	36.5535248041775	34.2317747891537	0	0	33.7264628204663
hsa-miR-532-5p	19.9575303753612	37.7311979152255	29.5931679239653	11.1332539161221	20.88772845953	72.7425214269515	27.3662202323939	5.31219786874621	64.8585823470505
hsa-miR-139-5p	19.9575303753612	17.6078923604386	7.39829198099132	0	10.443864229765	8.55794369728842	0	0	7.78302988164606
hsa-mir-378c	18.6270283503371	18.02712789283	9.04235686565606	3.71108463870735	39.1644908616188	8.55794369728842	7.29765872863838	21.2487914749849	41.9418832510927
hsa-miR-99a-5p	17.9617773378251	10.0616527773935	41.9236545589508	11.1332539161221	10.443864229765	25.6738310918652	32.8394642788727	13.2804946718655	18.1604030571741
hsa-miR-335-5p	17.9617773378251	5.03082638869674	17.2626812889797	0	31.331592689295	12.8369155459326	21.8929761859152	21.2487914749849	7.78302988164606
hsa-miR-628-3p	17.9617773378251	15.0924791660902	9.86438930798843	77.9327774128544	31.331592689295	4.27897184864421	0	0	5.18868658776404
hsa-miR-4433b-5p	17.9617773378251	2.51541319434837	0	0	0	17.1158873945768	0	10.6243957374924	10.3773731755281
hsa-miR-193b-5p	17.9617773378251	5.03082638869674	9.86438930798843	0	5.22193211488251	4.27897184864421	16.4197321394364	58.4341765562084	2.59434329388202
hsa-miR-106a-5p	16.963900819057	17.6078923604386	4.93219465399421	27.8331347903052	13.0548302872063	14.9764014702547	16.4197321394364	7.96829680311932	53.1840375245814
