	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa_piR_020102|gb|DQ597614|Homo_sapiens:15:49379227:49379257:Minus	0	1.67694212956558	0	0	0	0	0	0	0
hsa_piR_015580|gb|DQ591289|Homo_sapiens:15:49379226:49379255:Minus	0	1.67694212956558	0	0	0	0	0	0	0
hsa_piR_018165|gb|DQ595023|Homo_sapiens:14:102873935:102873963:Plus	0	0	12.3304866349855	0	0	0	0	0	0
hsa_piR_003280|gb|DQ574453|Homo_sapiens:9:140191386:140191415:Plus	0	0	7.39829198099132	0	0	0	0	0	0
hsa_piR_005564|gb|DQ577646|Homo_sapiens:3:12873782:12873808:Minus	0	0	4.93219465399421	0	0	0	5.47324404647879	0	0
hsa_piR_019487|gb|DQ596760|Homo_sapiens:1:22289024:22289053:Plus	0	0	4.93219465399421	0	0	0	0	0	0
hsa_piR_020751|gb|DQ598566|Homo_sapiens:18:11659544:11659572:Plus	0	0	4.93219465399421	0	0	0	0	0	0
hsa_piR_020668|gb|DQ598445|Homo_sapiens:11:84872677:84872704:Plus	0	0	2.46609732699711	0	0	0	5.47324404647879	0	0
hsa_piR_010503|gb|DQ584144|Homo_sapiens:6:30799703:30799732:Plus	0	0	2.46609732699711	0	0	0	0	0	0
hsa_piR_015267|gb|DQ590853|Homo_sapiens:13:109499773:109499799:Minus	0	0	2.46609732699711	11.1332539161221	0	0	0	0	0
hsa_piR_013002|gb|DQ587621|Homo_sapiens:15:100130422:100130451:Plus	0	0	2.46609732699711	0	0	0	0	0	0
hsa_piR_020813|gb|DQ598646|Homo_sapiens:1:31213600:31213629:Minus	0	0	1.23304866349855	0	0	0	0	0	0
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	0	0	1.23304866349855	0	0	0	0	0	0
hsa_piR_018570|gb|DQ595536|Homo_sapiens:2:156965941:156965972:Minus	0	0	0.493219465399421	0	0	0	0	0	0.518868658776404
hsa_piR_001311|gb|DQ571812|Homo_sapiens:3:15524505:15524533:Plus	0	0	0.493219465399421	0	0	0	0	0	0.518868658776404
