	sample_Neptune_Urine_33-10_fastq	sample_Neptune_Urine_33-11_fastq	sample_Neptune_Urine_33-12_fastq	sample_Neptune_Urine_33-13_fastq	sample_Neptune_Urine_33-14_fastq	sample_Neptune_Urine_33-15_fastq	sample_Neptune_Urine_33-17_fastq	sample_Neptune_Urine_33-18_fastq	sample_Neptune_Urine_33-19_fastq	sample_Neptune_Urine_33-1_fastq	sample_Neptune_Urine_33-20_fastq	sample_Neptune_Urine_33-21_fastq	sample_Neptune_Urine_33-22_fastq	sample_Neptune_Urine_33-23_fastq	sample_Neptune_Urine_33-24_fastq	sample_Neptune_Urine_33-2_fastq	sample_Neptune_Urine_33-3_fastq	sample_Neptune_Urine_33-4_fastq	sample_Neptune_Urine_33-5_fastq	sample_Neptune_Urine_33-6_fastq	sample_Neptune_Urine_33-7_fastq	sample_Neptune_Urine_33-8_fastq	sample_Neptune_Urine_33-9_fastq	sample_Neptune_Urine_35-10_fastq	sample_Neptune_Urine_35-11_fastq	sample_Neptune_Urine_35-12_fastq	sample_Neptune_Urine_35-13_fastq	sample_Neptune_Urine_35-15_fastq	sample_Neptune_Urine_35-16_fastq	sample_Neptune_Urine_35-17_fastq	sample_Neptune_Urine_35-18_fastq	sample_Neptune_Urine_35-19_fastq	sample_Neptune_Urine_35-1_fastq	sample_Neptune_Urine_35-20_fastq	sample_Neptune_Urine_35-21_fastq	sample_Neptune_Urine_35-22_fastq	sample_Neptune_Urine_35-23_fastq	sample_Neptune_Urine_35-24_fastq	sample_Neptune_Urine_35-2_fastq	sample_Neptune_Urine_35-3_fastq	sample_Neptune_Urine_35-4_fastq	sample_Neptune_Urine_35-5_fastq	sample_Neptune_Urine_35-6_fastq	sample_Neptune_Urine_35-7_fastq	sample_Neptune_Urine_35-8_fastq	sample_Neptune_Urine_35-9_fastq	sample_Neptune_Urine_36-10_fastq	sample_Neptune_Urine_36-11_fastq	sample_Neptune_Urine_36-12_fastq	sample_Neptune_Urine_36-14_fastq	sample_Neptune_Urine_36-16_fastq	sample_Neptune_Urine_36-17_fastq	sample_Neptune_Urine_36-18_fastq	sample_Neptune_Urine_36-19_fastq	sample_Neptune_Urine_36-1_fastq	sample_Neptune_Urine_36-20_fastq	sample_Neptune_Urine_36-21_fastq	sample_Neptune_Urine_36-22_fastq	sample_Neptune_Urine_36-23_fastq	sample_Neptune_Urine_36-24_fastq	sample_Neptune_Urine_36-2_fastq	sample_Neptune_Urine_36-3_fastq	sample_Neptune_Urine_36-4_fastq	sample_Neptune_Urine_36-5_fastq	sample_Neptune_Urine_36-6_fastq	sample_Neptune_Urine_36-7_fastq	sample_Neptune_Urine_36-8_fastq	sample_Neptune_Urine_36-9_fastq	sample_Neptune_Urine_37-10_fastq	sample_Neptune_Urine_37-11_fastq	sample_Neptune_Urine_37-1_fastq	sample_Neptune_Urine_37-2_fastq	sample_Neptune_Urine_37-3_fastq	sample_Neptune_Urine_37-4_fastq	sample_Neptune_Urine_37-5_fastq	sample_Neptune_Urine_37-6_fastq	sample_Neptune_Urine_37-7_fastq	sample_Neptune_Urine_37-8_fastq	sample_Neptune_Urine_37-9_fastq
hsa_piR_003728|gb|DQ575064|Homo_sapiens:14:20935370:20935400:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1468.42878120411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_001152|gb|DQ571500|Homo_sapiens:2:206734890:206734919:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599.460485562993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30373.8317757009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2939.44738389183	136.202669572324
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653.167864141084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_023064|gb|DQ601537|Homo_sapiens:16:77957:77983:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.327388793191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234.027615258601	0	0	494.315373208107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587.889476778366	0
hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494.315373208107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005452|gb|DQ577491|Homo_sapiens:10:29121198:29121228:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494.315373208107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004735|gb|DQ576498|Homo_sapiens:10:125166060:125166090:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494.315373208107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_012753|gb|DQ587269|Homo_sapiens:2:232029453:232029478:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2257.33634311512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016771|gb|DQ593080|Homo_sapiens:9:138481274:138481302:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376.46249139711	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032.34686854783	0	0	0	0	0	0	0	0	0	0	0	68.1013347861618
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032.34686854783	0	0	0	0	0	0	0	0	0	0	0	68.1013347861618
hsa_piR_019445|gb|DQ596701|Homo_sapiens:2:239022232:239022260:Plus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272.405339144647
