	sample_FHS_1020_CVD_BC_12_fastq	sample_FHS_1066_No_CVD_BC_11_fastq	sample_FHS_1095_No_CVD_BC_13_fastq	sample_FHS_1120_No_CVD_BC_01_fastq	sample_FHS_1579_CVD_BC_10_fastq	sample_FHS_1610_CVD_BC_04_fastq	sample_FHS_172_CVD_BC_14_fastq	sample_FHS_216_N0_CVD_BC_03_fastq	sample_FHS_21_No_CVD_BC_01_fastq	sample_FHS_2303_No_CVD_BC_07_fastq	sample_FHS_2616_No_CVD_BC_05_fastq	sample_FHS_2768_CVD_BC_02_fastq	sample_FHS_2918_No_CVD_BC01_fastq	sample_FHS_2938_CVD_BC_04_fastq	sample_FHS_3132_N0_CVD_BC_05_fastq	sample_FHS_3170_No_CVD_BC_07_fastq	sample_FHS_320_No_CVD_BC_07_fastq	sample_FHS_3392_CVD_BC_02_fastq	sample_FHS_3464_No_CVD_BC_03_fastq	sample_FHS_3713_CVD_BC_06_fastq	sample_FHS_4043_CVD_BC_04_fastq	sample_FHS_4820_No_CVD_BC_13_fastq	sample_FHS_4912_CVD_BC_02_fastq	sample_FHS_500_No_CVD_BC_09_fastq	sample_FHS_5237_CVD_BC_06_fastq	sample_FHS_543_CVD_BC_16_fastq	sample_FHS_590_N0_CVD_BC_15_fastq	sample_FHS_6077_No_CVD_BC_09_fastq	sample_FHS_6136_CVD_BC_08_fastq	sample_FHS_6355_CVD_BC_08_fastq	sample_FHS_6684_CVD_BC_16_fastq	sample_FHS_6758_CVD_BC_14_fastq	sample_FHS_676_CVD_BC_06_fastq	sample_FHS_6926_No_CVD_BC_03_fastq	sample_FHS_7138_CVD_BC_12_fastq	sample_FHS_7226_No_CVD_BC_15_fastq	sample_FHS_728_CVD_BC_08_fastq	sample_FHS_7326_No_CVD_BC_11_fastq
Pro	77.486635171234	73.9183812517274	134.850225485137	70.7236663148618	154.046675436021	97.5794715095822	86.2920847889324	97.6279129793611	95.2785508132421	89.1283362154196	108.852752462794	112.236444776997	105.404960717371	170.442094327525	102.195872989996	88.3374884670501	83.6873517446182	82.4903847145317	143.588761786244	60.7181298815996	111.169710968953	72.9530957190211	120.864178878985	281.775950041886	87.1250898477489	129.930494363996	89.2657235718582	98.2219068053947	84.5152259461744	167.195875835063	72.8636245169282	123.981799471838	82.343910256117	53.4920588607164	105.532059241979	103.043945279166	107.751524983388	101.581993599167
Thr	73.8549300407406	116.249280328804	63.9056700444672	57.1229612543114	69.4799970745264	73.5762491300823	69.5903909588164	86.9601229451743	71.8559070716534	102.497586647733	102.805377325972	61.6482396384438	80.2962993432328	203.718884172422	94.2067511729207	30.4273571386506	43.1411261779024	37.8080929941604	132.477726648023	52.8326584684049	98.878151950581	31.9169793770718	60.4320894394924	95.7385467323781	88.6808950236016	132.084038469476	67.3151358082865	60.9687288721615	31.6932097298154	84.5097320050938	62.8148499269562	83.9760972173534	48.8051049041811	78.1539821016961	118.50148739798	90.3330497423044	90.6481083193584	93.532162710668
Phe	52.304077185402	57.8491679361345	52.0815774710223	49.4571093110921	137.237434759686	32.6054431780395	52.8886971287005	57.3765469563778	43.6693357894026	61.4985519886395	77.6079809225472	34.358095339897	42.7047198570377	73.0466118546535	93.2740110622977	107.968041459728	28.351652494035	18.0652305810842	48.8600647744859	45.9985832436361	52.0087906587519	64.0322008620756	48.3456715515939	62.8284212931231	34.0710529309122	66.0420192347381	61.9299249436236	29.0515499001872	42.2576129730872	72.7344198760793	62.0522232169994	86.7872596302863	43.0018198004167	29.1774866512999	83.6214011816711	82.7740539297114	126.375245350888	123.533045089561
Met	27.2531770597621	25.7107413049487	42.7890138558607	27.2014101211007	32.5052617892521	11.1519396010951	43.1460423944662	22.0573870189126	35.7294565549658	7.45436993801691	18.1421254104656	9.92567198708136	18.852919803107	8.11629020607261	18.6548022124595	49.0763824816945	30.2569748145597	89.3645834407427	0	71.7577898600723	9.38504493090261	18.2382739297553	45.3240670796193	7.61556621734826	43.5625449238745	49.5315144260536	33.6575679041432	28.0139945466091	10.5644032432718	28.7350936701586	36.4318122584641	20.6636332453063	21.0434437321188	14.5887433256499	93.9839382811564	18.0666099484609	23.9447833296418	59.0810215645729
Trp	24.7756155088746	28.9245839680673	36.305829938306	32.6416921453208	24.3789463419391	30.6678339030116	11.1344625534106	17.6459096151301	7.93987923443684	40.999034659093	6.04737513682186	16.7972910550608	25.7085270042368	24.3488706182178	32.6459038718042	29.4458294890167	6.98237880335992	54.9935898096878	0	55.1982998923633	9.38504493090261	18.2382739297553	45.3240670796193	83.7712283908309	16.3359543464529	41.2762620217113	16.8287839520716	35.2768820216559	26.4110081081795	38.729908859779	22.4195767744394	37.1945398415513	24.7031730768351	14.5887433256499	29.9658933650064	13.1393526897897	5.98619583241046	59.0810215645729
Asn	18.1687847065081	32.1384266311858	28.5260092372404	10.8805640484403	60.9473658548478	35.3144754034679	2.78361563835266	28.3594975957448	15.8797584688737	59.6349595041353	24.1895005472875	17.5608042848362	9.42645990155348	48.6977412364356	23.3185027655744	49.0763824816945	61.6776794296793	24.0596955417384	11.9657301488537	22.0793199569453	28.1551347927078	86.6318011663376	90.6481341592386	114.233493260224	21.7812724619372	8.25525240434226	28.0479732534527	34.5851784526038	36.9754113514513	28.7350936701586	25.2220238712444	33.06181319249	18.2986467235816	24.3145722094165	21.7933769927319	39.4180580693692	23.9447833296418	32.2260117624943
SeC	18.1687847065081	22.4968986418301	28.5260092372404	27.2014101211007	97.5157853677564	39.0317886038329	47.3214658519952	40.4122840739364	31.7595169377474	33.5446647210761	24.1895005472875	29.7770159612441	42.8475450070613	32.4651608242904	23.3185027655744	19.6305529926778	30.2569748145597	10.3112980893165	0	11.0396599784727	42.2327021890617	22.7978424121941	166.188245958604	15.2311324346965	16.3359543464529	16.5105048086845	0	47.7275462645932	42.9178881757917	63.71694683383	14.0122354840247	66.12362638498	29.2778347577305	0	19.0692048686404	80.4785352249621	65.8481541565151	102.049037247899
Sup	3.30341540118328	0.357093629235398	0.576283014893746	7.25370936562685	0	3.27611693668535	2.78361563835266	0.720241208780821	12.3509232535684	2.07065831611581	8.06316684909582	0.169669606616775	3.93109222445737	1.47568912837684	5.08767333067078	1.09058627737099	0.258606622346664	0.763799858467886	0	5.51982998923633	0	1.51985616081294	0	0.846174024149807	0	0	0.623288294521171	0.307423808467589	0	3.84522751045118	3.42521311831714	0	1.62654637542947	4.32259061500739	2.42148633252577	0.364982019160826	0.665132870267829	2.98388997800873
tRNA	3.30341540118328	6.42768532623717	7.77982070106558	5.44028202422014	20.3157886182826	3.71731320036504	22.2689251068212	6.30211057683218	23.8196377033105	0	18.1421254104656	5.34459260842842	0.856950900141226	0	23.3185027655744	19.6305529926778	2.32745960111997	3.43709936310549	47.8629205954147	11.0396599784727	0	9.11913696487764	15.1080223598731	15.2311324346965	21.7812724619372	0	5.60959465069054	20.7511070715623	5.2822016216359	22.071883543745	22.4195767744394	2.75515109937417	15.5538497150443	4.86291444188331	2.72417212409149	9.8545145173423	11.9723916648209	21.4840078416629
Und	0	3.21384266311858	0.199482582078605	27.2479082580598	1.07656315755002	0.907087964704461	0.214124279873281	2.54885361107435	4.27531958777368	2.60584385012728	0	0.933182836392264	0.237309480039109	0	0	0.755021268949146	0	4.55552058443346	0	10.5490084238739	2.02139429280979	0.350736037110679	8.3675200762374	24.3698118955144	1.69409896926178	0	1.12191893013811	1.59032700918811	18.0768677718206	7.0595246847566	0.622766021512207	1.22619362115004	0.914932336179078	2.91774866512999	12.4630874677186	0	3.6838128199449	1.42308598951186
Undet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28483817244743	0	0
