	sample_NEB_Lib_41_fastq	sample_NEB_Lib_42_fastq	sample_NEB_Lib_43_fastq	sample_NEB_Lib_44_fastq	sample_NEB_Lib_45_fastq	sample_NEB_Lib_46_fastq	sample_NEB_Lib_47_fastq	sample_NEB_Lib_48_fastq	sample_NEB_Lib_49_fastq	sample_NEB_Lib_50_fastq	sample_NEB_Lib_51_fastq	sample_NEB_Lib_52_fastq	sample_NEB_Lib_53_fastq	sample_NEB_Lib_54_fastq	sample_NEB_Lib_55_fastq	sample_NEB_Lib_56_fastq	sample_NEB_Lib_57_fastq	sample_NEB_Lib_58_fastq	sample_NEB_Lib_59_fastq	sample_NEB_Lib_60_fastq	sample_NEB_Lib_61_fastq	sample_NEB_Lib_62_fastq	sample_NEB_Lib_63_fastq	sample_NEB_Lib_64_fastq	sample_NEB_Lib_65_fastq	sample_NEB_Lib_66_fastq	sample_NEB_Lib_67_fastq	sample_NEB_Lib_68_fastq	sample_NEB_Lib_69_fastq	sample_NEB_Lib_70_fastq	sample_NEB_Lib_71_fastq	sample_NEB_Lib_72_fastq	sample_NEB_Lib_73_fastq	sample_NEB_Lib_74_fastq	sample_NEB_Lib_75_fastq	sample_NEB_Lib_76_fastq	sample_NEB_Lib_77_fastq	sample_NEB_Lib_78_fastq	sample_NEB_Lib_79_fastq	sample_NEB_Lib_80_fastq	sample_NEB_Lib_81_fastq	sample_NEB_Lib_82_fastq	sample_NEB_Lib_83_fastq	sample_NEB_Lib_84_fastq	sample_NEB_Lib_85_fastq	sample_NEB_Lib_86_fastq	sample_NEB_Lib_87_fastq	sample_NEB_Lib_88_fastq
hsa-miR-6862-5p	0.256683130322646	1.77411810067647	0.251522149166217	0.657153565616674	0	0	0	0	0.528523348047423	0	1.63586014835289	0	0	0	0.315042689859689	2.19226323995461	0.346719358763349	0.947165827267262	1.30164521446883	1.20678502814223	0	0.871370596238235	0.479740786458261	0	0.59980266492324	1.78756036740324	0	0.419794661639206	0	0.494918670014956	0.533219011177337	1.02278875627864	0.871402740561619	0	0	0.882069511487853	0.32639515159586	0	0.686231115777483	0	0.373366428533559	0.48070082334437	0.795344793898327	0	0	0	0.81441879613428	0.520138055042569
hsa-miR-937-3p	0.256683130322646	0.59137270022549	0	0.219051188538891	0.919855165737971	0	0	0.710760174591129	0	1.13499744767449	0.654344059341154	3.00393440308444	2.56166241644177	0	0.315042689859689	0.876905295981845	0	0.631443884844842	0	0	0.182960018661922	0.58091373082549	0	0	0.59980266492324	1.78756036740324	0.422578719020226	0.629691992458809	1.80690345534148	2.47459335007478	1.33304752794334	1.02278875627864	0	0.446931568966681	0	0	0	0.676399606064869	0.686231115777483	0.760224593151555	0.746732857067117	0.721051235016555	0	0.18351425391913	0.374369538299408	0	1.01802349516785	0.520138055042569
hsa-miR-5006-3p	0.256683130322646	0	0.251522149166217	0.219051188538891	0	0	0	0.473840116394086	0	0.283749361918622	0.327172029670577	0	0	0	0	0.876905295981845	0.693438717526698	0.315721942422421	0	1.81017754221334	0.182960018661922	0.290456865412745	0	0	0.29990133246162	0	0	0.209897330819603	0	0	0	0	0	0	0	0.441034755743926	0.32639515159586	0	0	0.570168444863666	0	0	0	0.550542761757391	0.748739076598815	0.457849672385667	0.61081409710071	0
hsa-miR-1915-3p	0.256683130322646	0.295686350112745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	0.256683130322646	0	0.251522149166217	0	0	0.277153182286697	1.18354470455469	0	0	0	0	0	0	0	0	0	0	0.315721942422421	0	0	0.182960018661922	0.58091373082549	0	0.428765169175729	0	0	0	0	0	0	0	0	0.43570137028081	0	0	0	0	0	0	0.380112296575777	0	0.240350411672185	0	0	0.187184769149704	0	0	0
hsa-miR-6883-3p	0.256683130322646	0	0	0	0	0.277153182286697	0	0	0.264261674023712	0	0.327172029670577	0	0	0	0	0	0	0	0	0	0.182960018661922	0	0	0	0	0	0	0.209897330819603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6859-5p	0.256683130322646	1.18274540045098	0.75456644749865	2.6286142624667	0.919855165737971	1.66291909372018	3.55063411366408	1.42152034918226	0.792785022071135	0.851248085755867	4.90758044505866	0.75098360077111	0	3.44662385959833	2.52034151887752	5.69988442388199	1.73359679381675	4.10438525149147	3.25411303617207	3.62035508442668	1.09776011197153	3.77593925036569	0.479740786458261	0.857530338351458	5.09832265184754	0.59585345580108	1.6903148760809	2.93856263147444	1.20460230356099	0.494918670014956	2.13287604470935	3.57976064697526	1.74280548112324	0.893863137933362	2.72401946973459	1.76413902297571	1.30558060638344	1.86009891667839	0.686231115777483	2.47072992774255	1.49346571413423	3.60525617508278	2.12091945039554	3.30325657054435	0.561554307449112	0.915699344771334	2.64686108743641	0.520138055042569
hsa-mir-320b-1	0.205346504258116	0	0.113184967124797	0.0876204754155565	0.0613236777158647	0.0692882955716742	0.118354470455469	0.0789733527323477	0.0660654185059279	0.226999489534898	0.316266295348224	0.150196720154222	1.02466496657671	0.107706995612448	0.0787606724649224	0.438452647990922	0.294711454948847	0.663016079087084	0.130164521446883	0.44248784365215	0.0365920037323844	0.0726142163531863	0.0959481572916522	0.314427790728868	0.119960532984648	0.119170691160216	0.0845157438040452	0.139931553879735	0.361380691068296	0.181470179005484	0.244392046789613	0.409115502511458	0.348561096224648	0.22346578448334	0.0778291277067025	0.345477225332742	0.212156848537309	0.135279921212974	0.548984892621986	0	0.0746732857067117	0.576840988013244	0.132557465649721	0.165162828527217	0.280777153724556	0	0.0509011747583925	0
hsa-mir-320a	0.205346504258116	0	0.0503044298332433	0.0876204754155565	0.0613236777158647	0.207864886715023	0.118354470455469	0	0.0880872246745706	0.226999489534898	0.398059302765869	0.150196720154222	1.02466496657671	0.107706995612448	0	0.548065809988653	0.208031615258009	0.584085593481478	0.130164521446883	0.241357005628445	0.0365920037323844	0	0.0959481572916522	0.171506067670292	0.119960532984648	0.317788509760576	0.0845157438040452	0	0.361380691068296	0.181470179005484	0	0.409115502511458	0.348561096224648	0.22346578448334	0.0778291277067025	0.0882069511487853	0.293755636436274	0.135279921212974	0.548984892621986	0	0.0746732857067117	0.096140164668874	0	0.0734057015676522	0	0	0	0
hsa-mir-30c-2	0.171122086881764	0.197124233408497	0.251522149166217	0	0	0.184768788191131	0	0.0789733527323477	0.528523348047423	0.283749361918622	0.109057343223526	0	0	0	0	0.146150882663641	1.21351775567172	0.10524064747414	0	0	0.091480009330961	0.387275820550327	0.639654381944348	0.643147753763593	0.24991777705135	0	0	0	0	0	0.133304752794334	0.170464792713107	0.871402740561619	0	0.972864096333781	0	1.30558060638344	0	0	0.253408197717185	0.497821904711411	0.640934431125827	0.662787328248606	0.0611714179730435	1.02951623032337	0	0.06786823301119	0.0866896758404282
hsa-mir-30c-1	0.171122086881764	0.197124233408497	0	0	0	0.184768788191131	0	0.0789733527323477	0	0.283749361918622	0.109057343223526	0	0	0	0	0.146150882663641	0	0.10524064747414	0	0	0	0.387275820550327	0.639654381944348	0	0.09996711082054	0	0	0.209897330819603	0	0	0	0.170464792713107	0	0	0	0.66155213361589	1.30558060638344	0	0	0.253408197717185	0.497821904711411	0.640934431125827	0.530229862598885	0.0611714179730435	0	0	0.06786823301119	0.0866896758404282
hsa-miR-4318	0.128341565161323	0	0	0	0	0.138576591143348	0	0.118460029098522	0	0	0.163586014835289	0	0	0.215413991224896	0	0.657678971986383	0	0	0	0	0	0	0	0	0	0.29792672790054	0.211289359510113	0	0	0	0	0.255697189069661	0	0	0.194572819266756	0	0	0	0	0.190056148287889	0	0.120175205836093	0.397672396949163	0	0.187184769149704	0	0	0
hsa-miR-548i	0.128341565161323	0	0	0	0	0	1.18354470455469	0.118460029098522	0	0.141874680959311	0	0	0	0	0.315042689859689	0.438452647990922	0	0	0	0	0.365920037323844	0.145228432706373	0	0	0	0	0	0.209897330819603	0	0.494918670014956	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0917571269595652	0	0	0.81441879613428	0
hsa-miR-374c-5p	0.128341565161323	0	0	0	0.153309194289662	0	0	0.118460029098522	0.132130837011856	0	0.163586014835289	0	0	0	0.157521344929845	0	0.346719358763349	0.15786097121121	0	0	0.182960018661922	0.145228432706373	0	0.643147753763593	0.59980266492324	0	0	0.419794661639206	0.301150575890246	0	0	0	0.217850685140405	0	0	0.441034755743926	0.16319757579793	0.507299704548652	0	0.570168444863666	0	0.600876029180463	0.530229862598885	1.00932839655522	0.0935923845748519	0.228924836192833	0.40720939806714	0.130034513760642
hsa-miR-133b	0.128341565161323	0.443529525169118	0.503044298332433	0	0.459927582868985	0	0	0.355380087295565	0	0.283749361918622	0.327172029670577	0	0	0.215413991224896	0	0.219226323995461	0.173359679381675	0	0	0	0.457400046654805	0.290456865412745	0.23987039322913	0.643147753763593	0.14995066623081	0.29792672790054	0	0.209897330819603	0	0	0	0.255697189069661	0.43570137028081	0.22346578448334	0.194572819266756	0	0	0	0.343115557888741	0.0950280741439443	0.560049642800338	0.600876029180463	0.662787328248606	0.0917571269595652	1.21670099947307	2.747098034314	0.20360469903357	0.130034513760642
hsa-let-7a-3	0.128341565161323	0	0.125761074583108	0	0.204412259052882	0	0	0	0	0.141874680959311	0	0	0	0	0	0	0.0693438717526698	0	0.162705651808603	0	0	0.058091373082549	0	0	0.059980266492324	0	0	0.0944537988688213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367028507838261	0.0374369538299408	0	0	0
hsa-miR-4772-5p	0	5.32235430202941	0.251522149166217	0	1.22647355431729	2.21722545829357	1.18354470455469	0.947680232788172	0	0.283749361918622	0.327172029670577	0	0	0	0	0	0.693438717526698	0.315721942422421	0.650822607234414	1.81017754221334	0.548880055985766	1.16182746165098	2.3987039322913	1.28629550752719	0.59980266492324	0.59585345580108	0.845157438040452	0.209897330819603	3.61380691068296	0	0	0	2.61420822168486	0	3.89145638533512	1.32310426723178	0.65279030319172	0.676399606064869	1.37246223155497	0	1.12009928560068	0.48070082334437	2.38603438169498	3.48677082446348	0.561554307449112	0	0.61081409710071	0.520138055042569
hsa-miR-379-3p	0	3.84392255146569	2.38946041707906	0.438102377077783	0.459927582868985	1.10861272914679	0	0.829220203689651	1.58557004414227	1.41874680959311	0	0	0	0	0	0	0.693438717526698	0.315721942422421	0	0	1.46368014929538	0	0	2.78697359964224	0.89970399738486	0	2.11289359510113	1.46928131573722	0	0.494918670014956	0.533219011177337	0.511394378139322	0.43570137028081	0	1.16743691560054	0.882069511487853	1.95837090957516	2.11374876895272	0	0.66519651900761	0	1.44210247003311	0	4.49609922101869	1.49747815319763	0.457849672385667	0.61081409710071	0.780207082563854
hsa-miR-1278	0	3.2525498512402	0.75456644749865	0.657153565616674	1.53309194289662	1.94007227600688	0	3.07996075656156	0.528523348047423	0	0.981516089011731	0.75098360077111	0	1.29248394734937	2.8353842087372	0.876905295981845	2.08031615258009	1.26288776968968	0.650822607234414	0	1.28072013063345	0.58091373082549	2.87844471874957	2.57259101505437	4.4985199869243	0.59585345580108	1.6903148760809	3.77815195475285	3.01150575890246	3.95934936011965	1.33304752794334	2.04557751255729	1.74280548112324	1.34079470690004	2.33487383120107	0.441034755743926	1.95837090957516	0.676399606064869	2.40180890522119	0.190056148287889	1.86683214266779	3.36490576341059	2.12091945039554	4.77137060189739	2.62058676809585	2.28924836192833	1.42523289323499	0.780207082563854
hsa-miR-377-5p	0	2.06980445078922	3.0182657899946	0.219051188538891	0	0.277153182286697	3.55063411366408	0.710760174591129	0.528523348047423	0	0.327172029670577	0	0	0.430827982449791	0.630085379719379	4.82297912790014	0.693438717526698	0.315721942422421	0	0	0.182960018661922	0	1.91896314583304	2.57259101505437	0.29990133246162	0	1.26773615706068	0	0	0	0.266609505588668	0	0	0	1.55658255413405	1.76413902297571	0.32639515159586	2.70559842425948	0	0.570168444863666	0	0	0.265114931299442	1.10108552351478	1.12310861489822	0.457849672385667	0.20360469903357	0.520138055042569
hsa-miR-4645-3p	0	2.06980445078922	1.00608859666487	0	0.919855165737971	0	0	0.947680232788172	0.528523348047423	0	0	0	0	0	0.630085379719379	0	0	0.315721942422421	0	0	0.182960018661922	1.16182746165098	0	0.857530338351458	0.29990133246162	0.59585345580108	0	0.839589323278412	0	0	0.266609505588668	1.53418313441797	0.43570137028081	0	0	0.882069511487853	0.97918545478758	0	0	0.950280741439443	0	0.48070082334437	0.530229862598885	1.10108552351478	0.748739076598815	0.457849672385667	0.20360469903357	0.260069027521285
hsa-miR-487a-3p	0	1.77411810067647	0.251522149166217	0.219051188538891	0	0	0	0	0.528523348047423	0	0	0	0	0	0	0	0.693438717526698	0	0	0	0.182960018661922	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778291277067025	0	0	1.86009891667839	0	0	0	0.721051235016555	0	1.10108552351478	0	0	0	0
hsa-miR-498	0	1.77411810067647	0.75456644749865	0.438102377077783	0.919855165737971	3.60299136972706	0	1.89536046557634	1.05704669609485	3.40499234302347	1.63586014835289	1.50196720154222	0	1.29248394734937	2.20529882901783	0	4.16063230516019	2.21005359695695	0	1.20678502814223	3.11032031725267	2.6141117887147	1.91896314583304	6.43147753763593	3.89871732200106	1.19170691160216	2.95805103314158	2.72866530065484	3.61380691068296	7.9186987202393	5.33219011177337	1.53418313441797	0.871402740561619	1.78772627586672	4.28060202386864	1.76413902297571	1.30558060638344	2.53649852274326	1.37246223155497	0	3.36029785680203	0.96140164668874	3.71160903819219	0.917571269595652	2.24621722979645	2.747098034314	1.22162819420142	0.260069027521285
hsa-miR-7851-3p	0	1.77411810067647	0.251522149166217	0.219051188538891	0	0.554306364573393	1.18354470455469	0.236920058197043	0	0.283749361918622	0	0	0	0	0	0	0.346719358763349	0.631443884844842	0	0	0.365920037323844	0.58091373082549	0.479740786458261	0	0	0	0	0.209897330819603	0	0.494918670014956	0.799828516766005	0	0.43570137028081	0.446931568966681	1.55658255413405	0	0	0.169099901516217	0	0	0	0	0	0.367028507838261	0.187184769149704	0	0.20360469903357	0.780207082563854
hsa-miR-376a-3p	0	1.77411810067647	0.503044298332433	0	0	0.554306364573393	0	0.236920058197043	0	0.567498723837245	0	0	0	0	0.315042689859689	2.63071588794553	1.3868774350534	0.631443884844842	0	0	1.09776011197153	0.290456865412745	0	0.857530338351458	0	0	0.422578719020226	1.04948665409801	0	0	0.266609505588668	0	0	0	0.389145638533512	1.32310426723178	0.65279030319172	3.72019783335678	0	0.760224593151555	0.373366428533559	2.16315370504967	0.265114931299442	6.23948463325043	1.12310861489822	0	2.85046578646998	0.520138055042569
hsa-miR-1277-5p	0	1.77411810067647	1.25761074583108	0.657153565616674	0	0.554306364573393	0	0.947680232788172	0.792785022071135	0.283749361918622	0	0.75098360077111	0	0	0.315042689859689	0	0.693438717526698	0	1.30164521446883	0	0.731840074647688	0.58091373082549	0.479740786458261	0	0	0	1.26773615706068	0.419794661639206	0	0	0	0	0	0	0.389145638533512	0	0	0.338199803032435	0	0	0	0.240350411672185	0.530229862598885	0.734057015676522	0.561554307449112	0.457849672385667	0.40720939806714	0
hsa-miR-98-3p	0	1.47843175056373	1.00608859666487	0	0	0.83145954686009	0	0.947680232788172	0.792785022071135	0.283749361918622	0.981516089011731	0	0	0.430827982449791	2.20529882901783	0.438452647990922	0.346719358763349	0	0	0	0.731840074647688	1.16182746165098	0	0.857530338351458	0	1.19170691160216	0	1.88907597737643	0	0	0.266609505588668	0	0.871402740561619	0	1.55658255413405	0	0.97918545478758	0.845499507581087	0.343115557888741	0.190056148287889	0.373366428533559	1.92280329337748	1.06045972519777	3.48677082446348	1.87184769149704	0	1.22162819420142	0.520138055042569
hsa-miR-6511b-3p	0	1.18274540045098	0.503044298332433	0.219051188538891	0	0.83145954686009	0	0.710760174591129	0.528523348047423	1.13499744767449	2.61737623736462	0	0	1.72331192979917	0.472564034789534	3.50762118392738	0.346719358763349	1.26288776968968	0	0	0.731840074647688	0.871370596238235	1.91896314583304	2.57259101505437	2.39921065969296	0	1.26773615706068	1.04948665409801	0.602301151780493	1.97967468005983	0.533219011177337	1.02278875627864	1.30710411084243	0.893863137933362	0.778291277067025	0	1.6319757579793	0.676399606064869	0.686231115777483	0.760224593151555	2.24019857120135	0.240350411672185	0.795344793898327	1.10108552351478	1.31029338404793	1.373549017157	0.61081409710071	0
hsa-miR-3688-3p	0	1.18274540045098	0.503044298332433	1.09525594269446	1.22647355431729	1.38576591143348	0.591772352277347	0.473840116394086	0.264261674023712	0.567498723837245	8.17930074176443	0	0	2.58496789469875	0.630085379719379	2.63071588794553	2.42703551134344	0.631443884844842	0	0	2.74440027992883	0.290456865412745	2.3987039322913	0.857530338351458	2.69911199215458	0	0	4.61774127803126	0	0.494918670014956	1.33304752794334	0	1.30710411084243	0.893863137933362	0.389145638533512	0.441034755743926	1.95837090957516	1.18369931061352	1.37246223155497	0.570168444863666	1.49346571413423	2.16315370504967	3.44649410689275	2.75271380878696	1.12310861489822	0.457849672385667	1.62883759226856	0.520138055042569
hsa-miR-33a-3p	0	1.18274540045098	0.251522149166217	0.219051188538891	0.306618388579324	0.83145954686009	0	0.710760174591129	0	0	0	0	0	0	0.630085379719379	0	0	0	0	0	0.365920037323844	1.45228432706373	0.479740786458261	0	0.29990133246162	0	0	1.04948665409801	0	0	0.533219011177337	0	0	0	0	0	0	0.338199803032435	0	0.190056148287889	0.373366428533559	0.96140164668874	0.795344793898327	4.95488485581652	0.187184769149704	0	1.01802349516785	1.30034513760642
hsa-miR-541-3p	0	1.18274540045098	0.251522149166217	0	0.306618388579324	0	1.18354470455469	0.473840116394086	0.528523348047423	0	0	0	0	0	0	0	0	0	0	0	0.182960018661922	0	0.479740786458261	0	0	0	0	0	0	0	0	0	0	0	0	0.441034755743926	0	1.18369931061352	0	0.380112296575777	0	0	0	0.18351425391913	0.374369538299408	0	0.40720939806714	0.520138055042569
hsa-miR-154-5p	0	1.18274540045098	0.503044298332433	0	0	0	0	0	0.264261674023712	0.283749361918622	0	0	0	0	0	0.438452647990922	0	0	0	0	0.365920037323844	0	0.959481572916522	0.857530338351458	0	0	0	0	0	0	0.266609505588668	0	0	0.446931568966681	0.389145638533512	0	0.97918545478758	1.35279921212974	0	0	0.373366428533559	0.48070082334437	0.265114931299442	2.75271380878696	0.374369538299408	0.457849672385667	0.81441879613428	0
hsa-miR-521	0	1.18274540045098	0.251522149166217	0.438102377077783	0.306618388579324	0.277153182286697	0	0	0.792785022071135	0.283749361918622	0.327172029670577	0.75098360077111	0	0.861655964899583	0.315042689859689	0.438452647990922	0	0	0	2.41357005628445	0.548880055985766	0.58091373082549	0.479740786458261	0.428765169175729	1.4995066623081	0.59585345580108	0.845157438040452	1.67917864655682	0	1.97967468005983	2.39948555029802	1.53418313441797	0.43570137028081	0	1.55658255413405	0	0.97918545478758	0.169099901516217	0	0.190056148287889	2.98693142826847	0.48070082334437	1.8558045190961	0.550542761757391	0	0	0.81441879613428	1.30034513760642
