	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
hsa-miR-29a-5p	23.1339579414099	14.3010777292177	14.6601901564356	4.32515225977672	0.564467557509366	0	13.5737704490482	13.4865215268811	16.3687502404887	1.23942000101632	0	0	19.935415582217	21.1673684616121	15.9353420470742	0	0	0
hsa-miR-193a-5p	23.0680492293261	22.8817243667483	21.9497874717903	12.1104263273748	11.6656628551936	12.248786283572	54.3839929563393	45.0517493299398	53.2178325354279	16.1124600132122	7.57816881128844	7.03655160184752	23.859211665066	26.007819325792	26.0210015705389	10.7480758501484	1.77258764116445	1.01941475398973
hsa-miR-1306-5p	22.2771446843207	13.9110483366026	23.2457158834089	0.576686967970229	0.376311705006244	2.37073282907846	24.4802060936983	15.1783790660956	22.264603407679	0	1.51563376225769	0.469103440123168	18.4165267759528	13.8298596119426	24.1551545586979	0	5.31776292349335	0
hsa-miR-561-5p	21.9476011239017	31.3323612067405	17.7380201340298	3.17177832383626	1.31709096752185	0.395122138179743	14.13687446331	17.4503020473265	15.5154030715533	0	0	0	16.3280546673396	24.0870054908	18.2550437374711	0	8.86293820582224	0
hsa-miR-577	21.6839662755666	12.54594546245	23.7316890377659	15.2822046512111	12.0419745601998	4.34634351997718	20.4199297803367	16.725220244806	21.256102208028	11.1547800091469	4.54690128677306	8.91296536234019	20.125276683	16.9799943013295	27.1808524157373	1.95419560911789	8.86293820582224	9.17473278590761
hsa-miR-33a-5p	21.5191944953571	20.6065529098273	20.2488814315408	0.865030451955344	0	0	15.7076382925667	14.2599421162363	10.628051104014	0	0	0.938206880246336	26.833702244	18.6318941994227	22.9448754158822	0	0	0
hsa-miR-548ah-3p|hsa-miR-548av-3p	21.4642705686206	25.7581911372841	13.1482736762139	2.16257612988836	0.125437235002081	0.131707379393248	14.3887894170587	16.3264252534197	15.4016234490286	1.23942000101632	0	2.81462064073901	16.7394203857028	27.612979420567	14.5040188663692	0	0	1.01941475398973
hsa-miR-1292-5p	21.1566965788963	25.2869056212076	18.2239932883868	20.7607308469282	14.8643123477466	37.9317252652554	21.0719449547451	21.4624213546065	22.0318723616057	8.67594000711427	9.09380257354613	8.91296536234019	19.745554481434	18.555061646023	21.3311698921278	16.610662677502	19.4984640528089	13.2523918018665
hsa-miR-4454	21.0907878668125	14.9511267169094	21.0588366888025	14.7055176832408	6.77361069011239	0.790244276359487	16.8042092677081	17.1119305394836	17.9202905476441	1.23942000101632	0	0.469103440123168	18.1000916079811	21.0905359082125	23.1465886063515	0	0	3.0582442619692
hsa-miR-183-3p	20.9589704426449	15.0811365144477	18.3859843398391	9.80367845549389	6.20914313260303	3.55609924361769	23.4725462787034	21.0273722730942	26.3761852216406	0	0	0	18.6063878767358	18.8623918596217	23.4995866896727	0	1.77258764116445	5.09707376994867
hsa-miR-26b-3p	20.6953355943097	13.2609993489109	20.6538590601717	2.30674787188092	1.88155852503122	0	18.6713436307868	17.4986408341612	18.8512147319373	0	1.51563376225769	1.4073103203695	19.3025452462736	19.9764638839171	22.3901641420916	1.95419560911789	0	2.03882950797947
hsa-miR-3150a-5p	20.1680658976394	20.3465333147506	13.6882438477216	2.30674787188092	3.3868053450562	13.4341526981113	12.8328441144932	11.5529700534932	20.0148699623038	0	0	0.469103440123168	15.6318972978019	19.8612150538176	15.0780609875797	0	0	2.03882950797947
hsa-miR-516b-5p	19.8714766932624	15.9587026478315	18.5884731541545	10.6687089074492	5.08020801758429	35.1658702979972	2.83033859800022	3.43205386526366	2.98671509127401	1.23942000101632	3.03126752451538	0.938206880246336	7.97416623288679	10.6605167842057	9.75787558895209	5.37403792507419	14.1807011293156	12.2329770478768
hsa-miR-5582-3p	19.8385223372205	9.10068582768398	14.4981991049832	0.865030451955344	0.564467557509366	0	11.7066360859695	9.76443494060928	14.3517478411868	0	0	0	12.3409715508962	17.6714872819266	9.98480292823004	0	0	1.01941475398973
hsa-miR-3934-5p	19.7726136251367	30.0322632313571	15.5511409394234	57.3803533130378	25.7773517929277	35.1658702979972	15.2038083850693	17.3536244736571	13.7311317183247	34.7037600284571	28.7970414828961	29.5535167277596	18.4798138095472	16.0195873838335	13.9182101423813	22.4732495048557	49.6324539526045	46.8930786835278
hsa-miR-1247-5p	19.7067049130529	13.3910091464493	21.2208277402548	26.5276005266305	15.8050916102622	22.5219618762454	36.3350274465788	22.4291970913005	49.8044438596861	11.1547800091469	3.03126752451538	5.16013784135485	13.3535640884057	11.9474620536504	21.6841679754491	12.7022714592663	5.31776292349335	9.17473278590761
hsa-miR-1254	19.4430700647177	17.0312834775229	23.5696979863135	3.74846529180649	3.3868053450562	2.37073282907846	19.0862623781376	17.6919959815	21.8767183308902	0	1.51563376225769	2.34551720061584	17.6570823728207	18.9392244130214	23.7517281777593	2.93129341367683	10.6355258469867	2.03882950797947
hsa-miR-877-3p	19.2453439284664	14.821116919371	21.7068008946118	1.73006090391069	0.564467557509366	0.790244276359487	21.1904931682739	18.3204002103511	26.9968013445028	0	1.51563376225769	0	13.8598603571604	12.5621224808479	17.9524739517671	0.977097804558943	0	0
hsa-miR-1226-3p	19.047617792215	15.4061610082936	24.3796532435752	0.865030451955344	0.564467557509366	0	34.1715225496781	26.1512836775724	35.7630040799304	0	0	0.469103440123168	16.960925003283	16.2500850440325	21.7850245706837	0	0	0
hsa-miR-628-5p	18.9817090801312	12.0909111710659	14.3362080535309	5.76686967970229	3.01049364004995	1.58048855271897	36.3053903931966	27.2630757747704	25.910723129494	1.23942000101632	0	0.469103440123168	15.7584713649906	16.2116687673327	16.6917665113341	1.95419560911789	0	4.07765901595894
hsa-miR-204-5p	18.9817090801312	20.0215088209047	22.5167561518734	0.288343483985115	0.752623410012488	0.790244276359487	22.524160570473	25.8612509565642	29.7895738973824	2.47884000203265	0	3.28372408086217	31.0106464612264	34.689897859956	29.8031238918382	5.86258682735366	1.77258764116445	0
hsa-miR-455-5p	18.7180742317961	12.0259062722967	14.8221812078879	2.59509135586603	0.564467557509366	0	41.3436894681708	39.39611127028	43.1328205389182	2.47884000203265	1.51563376225769	3.28372408086217	19.935415582217	20.5142917577148	17.3977626779766	0	0	0
hsa-miR-3176	18.5862568076285	19.1114402381363	14.0932214763524	13.5521437473004	5.45651972259054	6.3219542108759	18.5824324706402	21.3657437809371	17.609982486213	0	0	0.938206880246336	14.4294436595094	20.245377820816	17.2464777851246	3.90839121823577	1.77258764116445	10.1941475398973
hsa-miR-378g	18.5862568076285	16.8904395301897	14.3092095449555	18.7423264590324	7.80846787887956	12.0512252144822	17.1153983282212	15.4200730002691	17.2608859171031	2.47884000203265	5.30471816790191	6.56744816172435	13.7227384510393	16.9863970141128	12.9600724876521	1.46564670683841	21.2710516939734	19.8785877027998
hsa-miR-29c-5p	18.4544393834609	13.1959944501418	16.847069351042	1.44171741992557	1.31709096752185	0	16.6263869474149	14.5499748372445	18.6960607012217	2.47884000203265	4.54690128677306	0.938206880246336	13.2902770548113	18.8239755829219	15.128489285197	0	1.77258764116445	0
hsa-miR-181b-3p	18.3885306713771	23.0117341642866	24.0556711406705	0.288343483985115	0.376311705006244	1.18536641453923	8.29837494701636	7.10580166470081	6.43889227469463	2.47884000203265	0	0	18.9228230447075	13.5609456750437	15.0276326899624	1.95419560911789	0	3.0582442619692
hsa-miR-16-1-3p	18.2567132472095	18.201371655368	20.6538590601717	0	0.188155852503122	0	7.61672271922573	7.00912409103141	5.35281405968589	0	0	0	18.2266656751698	13.8298596119426	16.0361986423089	0	0	0
hsa-miR-374b-3p	18.1908045351257	14.1710679316793	21.7877964203379	0.865030451955344	0.752623410012488	0	19.5752737589439	19.0938207997063	18.1918101013963	1.23942000101632	0	0.469103440123168	17.3406472048491	21.9356939956089	27.9372768799972	0	0	0
hsa-miR-6868-3p	18.0589871109582	16.9012736799845	15.5511409394234	2.59509135586603	2.44602608254059	0	15.2038083850693	15.8551220817814	17.609982486213	1.23942000101632	1.51563376225769	0	14.4294436595094	21.0905359082125	14.0694950352332	0.977097804558943	1.77258764116445	2.03882950797947
hsa-miR-3928-3p	17.8612609747068	21.5166214925957	28.5914205813357	29.6993788504668	15.9932474627654	18.1756183562682	27.5624596454472	24.0727158436803	18.3081756244329	19.8307200162612	19.7032389093499	15.0113100839414	18.9861100783019	20.8216219713136	18.6584701184097	19.5419560911789	19.4984640528089	28.5436131117126
hsa-miR-1277-5p	17.7294435505392	14.7561120206019	13.9312304249001	0	0.188155852503122	0	14.285059730221	11.3112761193197	6.51646929005239	0	0	0	16.7077768689057	16.4805827042316	17.5490475708286	0	0	0
hsa-miR-629-3p	17.3339912780365	9.75073481537569	14.4981991049832	3.74846529180649	1.12893511501873	0	19.3529958585774	14.7433299845833	17.7651365169285	1.23942000101632	0	0	14.0497214579434	11.6401318400517	14.1199233328506	0	0	3.0582442619692
hsa-miR-449c-5p	17.0044477176176	12.4809405636809	19.4389261742792	4.32515225977672	4.70389631257805	0	22.1388788765044	19.5288698812186	19.6269848855149	3.71826000304897	1.51563376225769	1.4073103203695	14.8091658610755	13.6761945051432	13.6156403566773	0.977097804558943	1.77258764116445	0
hsa-miR-2355-3p	17.0044477176176	11.8308915759892	12.2303243846507	0.865030451955344	1.88155852503122	0	20.4495668337189	20.5439844047472	23.3506816226877	0	0	0.938206880246336	12.5308326516792	14.6750176993391	14.4224931185545	0	0	1.01941475398973
hsa-miR-212-3p	16.6749041571986	9.36070542276066	15.7941275166019	15.8588916191813	6.77361069011239	5.13658779633666	17.4562244421166	13.0031336585341	15.9808651636999	2.47884000203265	6.06253504903075	0.469103440123168	11.1385179126038	14.6366014226392	12.8592158924175	1.95419560911789	1.77258764116445	1.01941475398973
hsa-miR-324-3p	16.543086733031	11.2458474870666	17.2520469796728	41.2331182098714	25.2128842354183	8.69268703995436	28.2144748198556	22.8642461728128	32.892654511693	7.43652000609795	12.1250700980615	2.81462064073901	18.4798138095472	15.0591804663375	22.9953037134995	8.79388024103049	5.31776292349335	20.3882950797947
hsa-miR-511-5p	16.0817257484445	15.2111463119861	10.2864317672227	0.576686967970229	3.57496119755932	13.4341526981113	23.56145743885	22.7675685991434	22.8852195305411	1.23942000101632	0	0.938206880246336	8.86018470320755	14.1371898255413	7.86681442830246	0.977097804558943	3.5451752823289	2.03882950797947
hsa-miR-23b-5p	16.0158170363607	9.75073481537569	21.2208277402548	0	1.12893511501873	3.16097710543795	16.3003793602107	14.6949911977486	17.6875595015708	1.23942000101632	0	0.938206880246336	14.5560177266981	10.8718063060549	13.9686384399986	0.977097804558943	0	0
hsa-miR-454-5p	15.8839996121931	17.8763471615221	24.3796532435752	10.6687089074492	14.6761564952435	9.0878091781341	20.1235592465147	17.8370123420041	18.5409066705062	6.19710000508162	9.09380257354613	6.09834472160118	16.7710639025	18.2093151557244	19.3644662850522	16.610662677502	14.1807011293156	0
hsa-miR-1306-3p	15.5544560517742	10.7258082969133	11.5823601788414	1.73006090391069	1.31709096752185	1.18536641453923	8.23910084025196	7.10580166470081	8.76620273542762	2.47884000203265	1.51563376225769	2.81462064073901	10.0626383415	11.5248830099522	10.5899424996379	0	3.5451752823289	0
hsa-miR-7976	14.8953689309363	19.1114402381363	15.7131319908757	2.59509135586603	3.3868053450562	0	16.8042092677081	15.4200730002691	20.3251780237348	0	0	1.4073103203695	13.9864344243491	14.44452003914	14.6242063090238	3.90839121823577	0	3.0582442619692
hsa-miR-3607-3p	14.8294602188525	30.4222926239721	15.875123042328	1.15337393594046	0.94077926251561	0.395122138179743	15.3519936519803	16.2901711632937	16.8342123326353	8.67594000711427	0	0.938206880246336	24.9350912361698	24.5864170878979	18.9610399041136	0	0	1.01941475398973
hsa-miR-3065-5p	14.7635515067687	8.84066623260729	14.4172035792571	14.7055176832408	14.2998447902373	3.95122138179743	14.9074378512472	13.9215706083934	19.8597159315882	2.47884000203265	0	0.938206880246336	14.7458788274811	18.3245639858239	24.4577243444019	0	0	1.01941475398973
hsa-miR-4504	14.7635515067687	23.2067488605941	11.0963870244844	3.74846529180649	0.564467557509366	3.16097710543795	8.09091557334095	11.5046312666585	4.96492898289706	2.47884000203265	3.03126752451538	0.469103440123168	12.4675456180849	12.4084573740485	6.35396549978276	0.977097804558943	3.5451752823289	3.0582442619692
hsa-miR-1266-5p	14.5658253705174	20.3465333147506	19.7629082771839	19.6073569109878	9.59594847765922	14.2243969744708	14.0776003565456	14.7433299845833	16.9117893479931	14.8730400121959	7.57816881128844	13.1348963234487	15.7584713649906	12.1779597138494	13.3634988685907	14.6564670683841	12.4081134881511	33.6406868816612
hsa-miR-33a-3p	14.4999166584336	8.32062704245392	13.0402796419123	0	0	0	15.5890900790379	13.0031336585341	14.4293248565446	2.47884000203265	0	0	12.7206937524623	12.1011271604498	11.3967952615151	0	0	0
hsa-miR-95-3p	14.4999166584336	16.0562099959853	14.1742170020786	16.4355785871515	8.65516921514361	0	53.3466960879623	49.9823055870792	47.4771333989531	45.858540037604	46.9846466299883	27.2079995271437	22.4668969259906	23.0497660199043	19.4653228802869	1.95419560911789	0	3.0582442619692
