	sample_GBM1_exosome_clean_fq	sample_GBM2_exosome_clean_fq	sample_GBM3_exosome_clean_fq	sample_GBM4_exosome_clean_fq
hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus	4986.11017088271	1738.72746253293	6044.28314938164	5407.56768551012
hsa_piR_019168|gb|DQ596311|Homo_sapiens:14:100479543:100479573:Plus	493.942890727775	264.869402762911	0.786435765630607	29.8198083531829
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	462.59237421079	20.2600698335664	76.8085597765893	454.570249286325
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	455.09925625206	51.7665457788269	187.171712220085	251.650090004909
hsa_piR_015254|gb|DQ590835|Homo_sapiens:3:114834325:114834352:Plus	378.962287567953	57.8859138101898	644.615182561888	1395.22761847616
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	203.950612945662	0.661553300687883	14.6801342917713	148.614166833342
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	89.228393163727	5.95397970619095	69.7306378859139	190.070973568255
hsa_piR_020619|gb|DQ598378|Homo_sapiens:1:28778863:28778894:Minus	79.9265915597864	161.0882287175	246.15439464238	189.101223703111
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	62.8732886192285	43.8279061705723	263.718126741464	98.6720487784182
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	50.3847586880119	4.30009645447124	4.71861459378365	30.304683285755
hsa_piR_005076|gb|DQ577008|Homo_sapiens:3:114834362:114834388:Plus	41.1690848767003	24.8082487757956	18.3501678647142	61.3366789703681
hsa_piR_019167|gb|DQ596309|Homo_sapiens:14:100434012:100434039:Plus	40.824573706184	43.8279061705723	0.262145255210202	8.97018625258347
hsa_piR_001207|gb|DQ571591|Homo_sapiens:16:88155360:88155385:Plus	32.211794443276	56.397418883642	26.2145255210202	15.2735603760205
hsa_piR_012753|gb|DQ587269|Homo_sapiens:2:232029453:232029478:Minus	20.4984146457211	60.0359620374254	150.471376490656	24.9710590274621
hsa_piR_017178|gb|DQ593744|Homo_sapiens:18:45271685:45271715:Minus	18.259092037365	40.9336104800628	25.95238026581	46.9116497263487
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	17.139430733187	121.560419001399	90.3090404199148	392.991132849671
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	16.7087917700416	160.426675416812	191.628181558658	64.0034910995145
hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus	16.105897221638	0.744247463273868	1.57287153126121	11.7582171148729
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	11.799507590184	108.329352987641	82.4446827636087	318.077955767284
hsa_piR_019201|gb|DQ596354|Homo_sapiens:14:100485925:100485955:Plus	11.5411242122967	5.78859138101898	0	4.12143692686268
hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus	7.75150133661721	40.7682221548908	136.053387454095	140.734949179046
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	7.40699016610089	20.8389289716683	6.02934086983466	9.69749865144159
hsa_piR_020814|gb|DQ598650|Homo_sapiens:22:38039828:38039859:Minus	6.37345665455193	34.3180774731839	24.7727266173641	18.546466170882
hsa_piR_004531|gb|DQ576233|Homo_sapiens:6:31698835:31698864:Plus	6.02894548403561	1.32310660137577	105.120247339291	20.6071846343134
hsa_piR_001101|gb|DQ571419|Homo_sapiens:1:45016687:45016714:Plus	4.13413404619585	221.785744055613	29.0981233283325	20.8496221005994
hsa_piR_019224|gb|DQ596390|Homo_sapiens:14:100485960:100485990:Plus	3.35898391253413	1.73657741430569	0.524290510420405	4.48509312629174
hsa_piR_019102|gb|DQ596225|Homo_sapiens:14:100520003:100520032:Plus	3.27285611990505	0	0.786435765630607	2.18193719657436
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	2.92834494938873	3.30776650343942	3.14574306252243	6.78824905600912
hsa_piR_011901|gb|DQ586098|Homo_sapiens:2:106681184:106681214:Minus	2.75608936413057	1.81927157689168	2.35930729689182	2.4243746628604
hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus	2.3311922538271	1.81927157689168	0.262145255210202	11.2733421823009
hsa_piR_000765|gb|DQ570956|Homo_sapiens:2:156965946:156965976:Minus	2.23932260835608	0.165388325171971	0	0.727312398858119
hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus	1.89481143783976	9.09635788445839	7.34006714588567	5.09118679200684
hsa_piR_019574|gb|DQ596863|Homo_sapiens:14:100519018:100519048:Plus	1.89481143783976	1.48849492654774	0	0.24243746628604
hsa_piR_000330|gb|DQ570393|Homo_sapiens:14:100479544:100479569:Plus	1.80868364521068	0.578859138101898	0	0.24243746628604
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	1.46417247469436	0.165388325171971	1.04858102084081	0.727312398858119
hsa_piR_019521|gb|DQ596805|Homo_sapiens:11:10487516:10487542:Minus	1.37804468206528	4.63087310481518	1.04858102084081	1.69706226400228
hsa_piR_007336|gb|DQ580006|Homo_sapiens:2:106681212:106681238:Minus	1.37804468206528	0.826941625859854	2.62145255210202	4.36387439314872
hsa_piR_000560|gb|DQ570698|Homo_sapiens:17:24071728:24071758:Plus	1.20578909680712	0.330776650343942	7.34006714588567	9.45506118515555
hsa_piR_020439|gb|DQ598084|Homo_sapiens:19:12678303:12678331:Minus	1.20578909680712	7.44247463273869	9.9615196979877	1.69706226400228
hsa_piR_001042|gb|DQ571335|Homo_sapiens:11:93104320:93104349:Minus	1.03353351154896	3.9693198041273	8.65079342193668	3.6365619942906
hsa_piR_001205|gb|DQ571589|Homo_sapiens:11:8662350:8662381:Plus	1.03353351154896	0.992329951031825	10.2236649531979	8.97018625258347
hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus	1.03353351154896	0.330776650343942	1.04858102084081	14.7886854434484
hsa_piR_016963|gb|DQ593398|Homo_sapiens:14:100485962:100485989:Plus	0.947405718919882	0.248082487757956	0	1.33340606457322
hsa_piR_001312|gb|DQ571813|Homo_sapiens:2:156965943:156965973:Minus	0.91295460186825	0.0330776650343942	0	0.24243746628604
hsa_piR_018570|gb|DQ595536|Homo_sapiens:2:156965941:156965972:Minus	0.91295460186825	0.0330776650343942	0	0.24243746628604
hsa_piR_001311|gb|DQ571812|Homo_sapiens:3:15524505:15524533:Plus	0.91295460186825	0.0330776650343942	0	0.24243746628604
hsa_piR_018569|gb|DQ595533|Homo_sapiens:4:101908752:101908780:Plus	0.91295460186825	0.0330776650343942	0	0.24243746628604
hsa_piR_019354|gb|DQ596587|Homo_sapiens:11:2941674:2941699:Minus	0.861277926290802	0.165388325171971	4.45646933857344	1.93949973028832
hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus	0.861277926290802	60.0359620374254	9.69937444277749	8.00043638743931
hsa_piR_015099|gb|DQ590642|Homo_sapiens:19:47056699:47056724:Plus	0.861277926290802	1.32310660137577	5.24290510420405	1.2121873314302
hsa_piR_002732|gb|DQ573682|Homo_sapiens:22:38039830:38039857:Minus	0.861277926290802	1.90196573947766	7.20899451828057	1.33340606457322
