	sample_Sample_1S10_fastq	sample_Sample_1S11_fastq	sample_Sample_1S12_fastq	sample_Sample_1S13_fastq	sample_Sample_1S14_fastq	sample_Sample_1S15_fastq	sample_Sample_1S16_fastq	sample_Sample_1S17_fastq	sample_Sample_1S18_fastq	sample_Sample_1S19_fastq	sample_Sample_1S1_fastq	sample_Sample_1S20_fastq	sample_Sample_1S21_fastq	sample_Sample_1S22_fastq	sample_Sample_1S23_fastq	sample_Sample_1S24_fastq	sample_Sample_1S25_fastq	sample_Sample_1S2_fastq	sample_Sample_1S3_fastq	sample_Sample_1S4_fastq	sample_Sample_1S5_fastq	sample_Sample_1S6_fastq	sample_Sample_1S7_fastq	sample_Sample_1S8_fastq	sample_Sample_1S9_fastq	sample_Sample_2S10_fastq	sample_Sample_2S11_fastq	sample_Sample_2S12_fastq	sample_Sample_2S13_fastq	sample_Sample_2S14_fastq	sample_Sample_2S15_fastq	sample_Sample_2S16_fastq	sample_Sample_2S17_fastq	sample_Sample_2S18_fastq	sample_Sample_2S19_fastq	sample_Sample_2S1_fastq	sample_Sample_2S20_fastq	sample_Sample_2S21_fastq	sample_Sample_2S22_fastq	sample_Sample_2S23_fastq	sample_Sample_2S24_fastq	sample_Sample_2S25_fastq	sample_Sample_2S2_fastq	sample_Sample_2S3_fastq	sample_Sample_2S4_fastq	sample_Sample_2S5_fastq	sample_Sample_2S6_fastq	sample_Sample_2S7_fastq	sample_Sample_2S8_fastq	sample_Sample_2S9_fastq	sample_Sample_3S10_fastq	sample_Sample_3S11_fastq	sample_Sample_3S12_fastq	sample_Sample_3S13_fastq	sample_Sample_3S14_fastq	sample_Sample_3S15_fastq	sample_Sample_3S16_fastq	sample_Sample_3S17_fastq	sample_Sample_3S18_fastq	sample_Sample_3S19_fastq	sample_Sample_3S1_fastq	sample_Sample_3S20_fastq	sample_Sample_3S21_fastq	sample_Sample_3S22_fastq	sample_Sample_3S23_fastq	sample_Sample_3S24_fastq	sample_Sample_3S25_fastq	sample_Sample_3S2_fastq	sample_Sample_3S3_fastq	sample_Sample_3S4_fastq	sample_Sample_3S5_fastq	sample_Sample_3S6_fastq	sample_Sample_3S7_fastq	sample_Sample_3S8_fastq	sample_Sample_3S9_fastq	sample_Sample_4S10_fastq	sample_Sample_4S11_fastq	sample_Sample_4S12_fastq	sample_Sample_4S13_fastq	sample_Sample_4S14_fastq	sample_Sample_4S15_fastq	sample_Sample_4S16_fastq	sample_Sample_4S17_fastq	sample_Sample_4S18_fastq	sample_Sample_4S19_fastq	sample_Sample_4S1_fastq	sample_Sample_4S20_fastq	sample_Sample_4S21_fastq	sample_Sample_4S22_fastq	sample_Sample_4S23_fastq	sample_Sample_4S24_fastq	sample_Sample_4S25_fastq	sample_Sample_4S2_fastq	sample_Sample_4S3_fastq	sample_Sample_4S4_fastq	sample_Sample_4S5_fastq	sample_Sample_4S6_fastq	sample_Sample_4S7_fastq	sample_Sample_4S8_fastq	sample_Sample_4S9_fastq	sample_Sample_N10_fastq	sample_Sample_N11_fastq	sample_Sample_N12_fastq	sample_Sample_N13_fastq	sample_Sample_N14_fastq	sample_Sample_N15_fastq	sample_Sample_N16_fastq	sample_Sample_N17_fastq	sample_Sample_N18_fastq	sample_Sample_N19_fastq	sample_Sample_N1_fastq	sample_Sample_N20_fastq	sample_Sample_N21_fastq	sample_Sample_N22_fastq	sample_Sample_N23_fastq	sample_Sample_N24_fastq	sample_Sample_N25_fastq	sample_Sample_N26_fastq	sample_Sample_N27_fastq	sample_Sample_N28_fastq	sample_Sample_N29_fastq	sample_Sample_N2_fastq	sample_Sample_N30_fastq	sample_Sample_N31_fastq	sample_Sample_N32_fastq	sample_Sample_N33_fastq	sample_Sample_N34_fastq	sample_Sample_N35_fastq	sample_Sample_N36_fastq	sample_Sample_N37_fastq	sample_Sample_N38_fastq	sample_Sample_N39_fastq	sample_Sample_N3_fastq	sample_Sample_N40_fastq	sample_Sample_N41_fastq	sample_Sample_N42_fastq	sample_Sample_N43_fastq	sample_Sample_N44_fastq	sample_Sample_N45_fastq	sample_Sample_N46_fastq	sample_Sample_N47_fastq	sample_Sample_N48_fastq	sample_Sample_N49_fastq	sample_Sample_N4_fastq	sample_Sample_N50_fastq	sample_Sample_N5_fastq	sample_Sample_N6_fastq	sample_Sample_N7_fastq	sample_Sample_N8_fastq	sample_Sample_N9_fastq	sample_Sample_PC10_fastq	sample_Sample_PC11_fastq	sample_Sample_PC12_fastq	sample_Sample_PC13_fastq	sample_Sample_PC14_fastq	sample_Sample_PC15_fastq	sample_Sample_PC16_fastq	sample_Sample_PC17_fastq	sample_Sample_PC18_fastq	sample_Sample_PC19_fastq	sample_Sample_PC1_fastq	sample_Sample_PC20_fastq	sample_Sample_PC21_fastq	sample_Sample_PC22_fastq	sample_Sample_PC23_fastq	sample_Sample_PC24_fastq	sample_Sample_PC25_fastq	sample_Sample_PC26_fastq	sample_Sample_PC27_fastq	sample_Sample_PC28_fastq	sample_Sample_PC29_fastq	sample_Sample_PC2_fastq	sample_Sample_PC30_fastq	sample_Sample_PC31_fastq	sample_Sample_PC32_fastq	sample_Sample_PC33_fastq	sample_Sample_PC34_fastq	sample_Sample_PC35_fastq	sample_Sample_PC36_fastq	sample_Sample_PC3_fastq	sample_Sample_PC4_fastq	sample_Sample_PC5_fastq	sample_Sample_PC6_fastq	sample_Sample_PC7_fastq	sample_Sample_PC8_fastq	sample_Sample_PC9_fastq	sample_Sample_Pan01_fastq	sample_Sample_Pan02_fastq	sample_Sample_Pan03_fastq	sample_Sample_Pan04_fastq	sample_Sample_Pan05_fastq	sample_Sample_Pan06_fastq
Gly	247050.916781124	248374.234471141	304286.02562488	374046.708966196	396865.036239435	392011.220497101	351519.413578726	386479.662546269	364841.654541152	380075.256108717	270529.695326694	312178.811149941	406625.607826246	306714.437091915	365015.36861275	342585.345048778	291884.62973218	252404.328759877	241509.641066475	286207.463521613	272882.646154814	258677.736006888	240929.846379386	256033.550451574	254962.399821336	277340.74498346	241318.697049954	280821.313300507	379485.889412769	413169.716522477	430424.350625238	347778.59218953	331426.346965285	400923.574262128	395912.341499305	277079.025414333	393812.704146628	352062.136108034	347350.47330782	421772.126453498	333830.324931512	331348.557475947	183634.957859541	220900.280310084	308902.864106961	215116.217492107	184323.592417409	242066.803686017	232765.764568758	205353.967031478	262042.275539321	318341.546746913	213466.003466728	369768.024530219	386660.086556794	407037.745527741	315466.068589497	377147.244137747	402043.356033998	425383.450668531	193538.966232445	332049.184479482	409349.982842863	371084.574365164	352898.518477427	299194.61807241	335533.890752529	174172.582810162	277830.76425078	139983.357842226	117459.715791743	263749.602911882	220043.600236671	206848.458808864	251158.662881304	318637.475525992	300600.893234664	289810.796648929	406959.876034495	382650.957618157	385600.424291682	358434.268071751	373945.502385735	356096.688208105	383402.998139322	236647.960838023	400830.352123775	396369.867435822	387698.07859143	411368.289272407	367609.458877535	356898.116436715	263806.666862622	200305.370994457	261050.105408324	234477.016186541	230800.516894814	223046.563287185	181891.657147322	284461.141646665	213409.660353637	214519.972982819	227221.211642939	217692.989952276	234626.126167185	220503.126915969	284329.235614377	211551.912239812	141307.24194781	238148.574886859	276501.510010793	292745.421498311	307321.827860278	249527.273871727	210829.846824402	149944.839418716	389276.180809565	354875.867785911	381383.664373518	337993.308513871	398760.938716478	237037.845297867	394008.999410445	389066.698568904	368812.888886045	365562.286915867	391273.464904741	384398.927776307	383039.115017187	390801.923025106	367921.108228673	388251.1601838	209925.952579043	258098.878658015	342282.648575069	338111.641210206	395145.30025469	372653.357016113	346130.826912981	352667.395125898	377193.445470587	338969.423451751	210073.716253727	253408.352952819	267150.591820239	183341.7748156	181636.655995857	266283.792055054	246768.158311439	232657.257542994	225058.505582359	192516.300888456	161882.808108463	192712.335752831	242551.608599634	241445.395534779	192922.563653684	242113.061336945	348881.66591872	386901.504555754	169843.624557522	292460.452713379	401681.854065742	373286.084056394	429671.394894457	374474.552023196	379435.994565875	349226.912947375	410255.171102635	314945.945745134	376036.79353303	190276.417968838	358560.52551173	421892.754217626	416593.174495645	433717.253234552	380877.528493255	457812.798876371	355926.764287491	171688.41407476	97281.2680193586	255639.097520144	250090.086518442	206499.160279953	231591.257287584	233551.141090001	416038.946567372	397959.30122678	344128.811038258	327869.793418303	356343.955186393	443613.719535243
Glu	197376.700317103	180655.977610265	127765.007809692	156383.551695449	187955.187361424	202632.995483775	156925.194595077	143671.646139447	153340.580682518	139004.969541201	205953.786961636	122974.400198961	175871.272270416	138738.748173242	136171.741901206	160700.559762362	183595.584756353	180470.26820084	177285.382413575	174824.856213384	156125.399417562	196318.214519905	169984.47618306	189916.612022341	180688.795971375	136951.891260783	148896.843798465	137232.398387948	206228.557082367	166250.883674808	171487.274227098	164393.399756993	131595.466166526	172862.875796837	109122.347514873	200769.672580124	156309.544827722	138414.687383037	163959.023597458	139203.789536324	148354.570111612	195307.699542781	138336.638491839	175616.443712151	210652.610008982	133484.217521716	118258.785640949	197980.236186294	215140.871856964	144178.553851821	120660.381315393	202009.435990893	91587.4496238705	149085.405986441	149315.930095183	153972.838905683	131900.188797505	157212.318458317	163746.949315781	138937.023171789	127285.215821981	130488.650468567	163874.100887621	156496.581690326	164825.486712525	121300.435233429	172138.202113161	123207.025267713	171724.577261588	76445.2668836213	62514.9286917955	191077.965557216	171595.358427685	123256.484441685	179356.050173337	146717.070090943	166524.448206102	124213.754038154	191541.521728544	203988.459266641	190541.313633487	161091.799102766	148869.953880481	136489.285532333	123155.548161666	153800.534067941	163433.683309811	165943.952389079	123576.346542331	145640.562589063	119718.089600878	179612.97940599	211076.932493636	124979.911334155	184727.682719312	152440.987228946	148064.900774257	158299.351723772	125057.910133881	214893.940584523	155696.983192518	146921.766039296	159505.783638824	176286.248114497	190896.821156766	190679.12913044	223309.273933474	158952.959765719	95579.215659183	175709.503680064	177906.183892919	195550.073216369	198343.027643045	188178.362829435	161190.413210223	107098.752035644	187136.840286585	191744.655048581	183839.549841557	152043.171658363	178764.449591991	203209.173004555	172237.723785413	191887.117082159	158889.398245446	154772.337371341	181906.59930802	173063.758825786	166446.328026559	169521.774978423	146657.483706192	156129.454455573	188954.366782302	89432.0194820848	151895.2979154	101095.514322286	162767.548129438	143710.492223373	155666.849759327	143183.105610041	165847.420004342	171837.037171627	173944.739825442	194386.917242113	199777.658875459	140395.715995219	148576.016613206	155658.366599359	149976.427316463	159752.018097707	164165.349886497	138807.65255578	121213.31918355	142835.255649194	163168.41108776	152618.382934877	118829.263498511	174962.278232342	129344.149320578	126907.436674787	131383.079537519	183753.186764152	161126.982412084	168182.657920889	163390.603480646	141617.093275414	147309.0959675	128986.475866023	148446.427744314	145543.216802175	155260.63114015	123952.375920716	181653.445536217	155402.132498729	150321.161466068	151143.489937514	140507.344378521	162635.63189935	108546.38495062	114979.086825002	50197.7677099065	157940.240066644	167798.101224494	135578.442506441	177170.728554475	136662.715235428	165911.120074552	163573.909041757	130416.486976979	140993.450002327	153624.798323689	162810.30076238
Val	31610.1987668612	32098.833504787	17687.5256599425	28567.1014913955	39071.3067891392	35587.45471666	26239.7148128243	21111.6646270867	24075.3905960331	22073.5397330516	22570.0255826505	20207.8843620427	32789.1397824924	29109.5424094346	18886.2233014792	28093.8607929415	25462.0191894819	25917.4402991414	24775.6087734292	26365.4215103309	25599.7081905665	36444.121423026	23797.024796195	30813.8782351104	27909.5550518179	17949.2447216267	21763.8119991235	16136.7204239186	36539.6963644577	27784.9591845533	29407.9562190173	29794.0604079341	20653.7688947785	28755.5772754521	19231.8174324467	26954.1538869529	30234.8316883809	23948.9656730933	30373.8087925305	21637.8102621159	28355.7356781946	19444.9168169392	33726.2620685999	32558.6373795048	31250.288400984	31581.4606470362	35192.2150423066	27589.5442007972	33814.0759707011	25398.5232597576	13260.6504135496	25356.7936250449	11192.9830458563	27826.5559617039	26504.4759633545	23195.2049095643	24229.3858424846	30584.283092511	24004.1973167628	25172.2290220478	20036.692763443	26846.0311558007	15592.8866513415	28375.5245913506	33343.8907156694	20808.3221864079	32930.4858108112	29497.7854978928	24572.2380212489	24057.5926270835	26829.409147424	33382.8539939335	27751.2669252713	20916.4411431769	31564.4888386856	17051.970219449	14920.6909586781	15244.8876207792	35296.3651511187	41808.6408846878	36892.6415684031	27406.9497681243	26331.3217740246	21026.989487966	18192.4589524253	25406.0868116732	29430.2508774836	28913.7415404036	17974.299149949	26703.575316351	22333.0781803766	38200.9021632708	39463.4417115439	14972.8063002117	31248.0819078935	33307.6410687689	30565.4542186418	34268.9889699855	29401.2360462078	31941.056522599	26771.4959684463	27207.8096898969	27593.8641361098	24983.8311986884	35686.2737167234	33394.3352061154	30084.7910958633	32985.925241662	22627.3014419173	35418.5658344133	28998.3998335331	38839.016191603	36112.2178746934	28762.2539478824	29788.2895765577	25983.7879095723	33833.4284175286	34930.7886639155	42440.5911068921	29182.7687276073	35299.8656163087	26099.5844252883	34167.4720924256	32584.2200816583	29469.479256649	28998.5043137803	37011.5198481862	28013.1019178202	29119.4837244436	27443.5148816806	27381.1276346957	27461.7451810208	28917.7462721704	13525.0776895246	26497.901504233	19075.4025171257	23639.7915208724	16935.0441964244	23139.7821108789	22167.9513016997	25125.4429392745	16797.1935262196	45167.1390448147	28503.0996807613	27540.102274324	23047.6456939493	33741.5805600341	29515.8680022847	22311.1072161863	33497.3480906859	36068.9200398932	32276.4168984468	33900.9510622731	25902.5391955661	33128.2949899267	23309.7748297836	21752.9750227844	25762.7898240802	21088.0670116737	19113.4056681084	26880.5808618913	25933.1444590978	34210.3763199079	31231.5906096335	34339.4688347775	24347.2191191398	28283.1070074579	28367.565087933	27399.4324368276	31491.5419360648	26457.2292420357	28606.973769812	28661.0602088953	29049.925639127	28086.8423121948	29699.4254784137	33960.4516287959	28028.1900832039	19252.0591082853	29388.2975047785	12259.417129076	14111.6017662866	20036.1153995661	20725.1360226386	35893.4248003601	27434.216853849	29635.6641465342	27950.4551904482	24216.280975213	25295.5009051691	28646.4345428207	22735.371990345
His	12590.8465160875	11609.4630623336	11192.6633760586	23068.702237545	25237.3559687004	26466.4838888284	21789.4591696304	20134.1911816563	20128.7423288785	19908.9678107825	13949.5366458832	17932.1488518191	26597.7605307027	20321.70904635	19503.1361784352	23678.6244854496	13662.6346825975	14351.4185773157	13742.2515889895	15396.5279108122	14785.1393218507	17833.7135265716	13061.6525493166	13543.2711156692	13803.2254665365	9481.90195607638	10576.9368040563	8859.35929136665	27333.3488284279	23662.4761191606	25672.2640340694	20912.6876766475	18496.8084835307	21282.5084219205	17270.9864970553	14894.2914597282	20816.2793925791	18678.4826905231	21973.6698240741	19635.3948879326	21426.0429990766	13273.9745460931	12254.3701157812	12946.7138052703	16890.2540721952	12407.6554441633	13962.1409563349	13413.8957381931	15118.0105320041	11304.0834446889	8002.14369169464	13915.7416328522	6260.87006306139	19917.7656057784	20794.6289829117	20535.8105067137	17815.5832726375	18682.7888257906	21502.1442849178	22267.9062322213	9489.72722817435	19260.7165091535	17965.4029610949	21220.6483863624	21656.0395638455	16353.2895689277	20886.3436249885	11202.8350526313	12571.2082210939	8211.27990750708	8322.88239249762	17029.8788612037	12671.6200642803	8406.64784665678	13353.266541567	9941.6528504908	9588.33816505713	8316.51584870673	24665.3168627685	26204.5992490849	22792.8258171771	21736.5569269683	21751.5802266251	18689.385468052	18130.7234635782	11614.829314351	24650.9922857824	25544.0475084439	19463.274634076	23269.5255360834	19870.5307415769	23811.0052272712	16623.198503426	9230.01940354791	16760.4593793795	14259.7480604223	12785.4547951197	12538.9126311261	10020.4701610041	13401.9702814309	14100.9239263427	12980.9892153644	15304.0544738173	13275.9557780941	15508.8010243801	14286.658886239	15014.5111931952	11403.7843169047	9056.05290318931	12965.4833861653	13663.1208791924	11941.1343240961	10517.7791497433	12581.6253404044	10908.8687200399	8356.49133031042	24812.4151734617	24897.0525758011	23047.1808946816	21491.3283935576	23698.4387447522	13506.4514478239	23250.9222365878	25917.9459770828	22111.4889736438	20326.8845248057	24942.5123442483	22536.2750019954	22376.2637322672	25090.0658780748	21142.7090835907	23421.5581717682	13644.9857379015	13958.6588574236	21721.6982113576	14687.3447095245	25447.9247841383	21927.2791584787	23037.3548431656	22434.4397664793	22672.7401412604	18225.6721605012	16308.669340942	15392.1880934872	13056.2447513787	10615.2142668672	13747.5246413738	15433.7224615219	13502.963775121	14491.8944168872	14709.0319134029	12874.4654426475	11286.6924256219	10428.928291025	12290.8238256933	10107.8341099283	8855.93592231489	10651.0272054928	12038.8591402563	10400.8701542682	10820.1983888142	11981.6799416034	21180.7785888076	23512.822176033	21634.7241532499	21709.1920913048	21320.2087049201	18167.4475704668	20472.2108083164	19935.2109443805	20681.6978334666	11336.2984036852	23940.6767419534	22223.8171427363	22051.8428782539	23971.3214655135	22831.3806760911	25401.6779149827	19202.312818058	9975.86617148693	4874.63546019285	11086.4680723026	12815.531153663	11553.6771249522	15616.3691867797	11390.8312779077	22949.0425113158	21856.9080932467	18042.9182132586	17677.5725442384	21469.1785667054	22203.504367408
Ala	12270.5129650503	14559.8440328231	12464.8738400989	9841.24263358885	12823.5703810022	14866.786244821	8960.51749665305	9514.2571244112	12986.007313497	7212.55163912324	10504.1064258872	6640.71309171747	13316.5547839189	9304.73831478165	7459.13534972163	10423.1576768545	14242.7540433456	12834.7823362363	15503.9396167209	10556.8151569314	9735.36430321996	14240.7623507219	11605.9819649837	15769.6698066528	22984.1070585655	14989.7681536483	11603.6501678404	13355.9852743767	10338.0296579323	11374.6128036749	10845.9230299572	9665.95470701955	8716.39043030999	9947.59293300986	9123.88003336746	10264.1728484216	13497.3945558808	7702.72161663035	9784.44129812148	9472.48750370391	9142.96745144548	12680.6394491361	14133.8893548298	12259.1901378475	10963.576274971	12316.9410681215	11872.8770280632	12858.6204502915	12324.4570093758	13129.9153646127	10665.8410595207	15340.9813309687	13025.2003516561	8935.46193287899	13104.3238491619	12723.3942630329	7957.13133178984	10336.1681779437	9854.20540788273	9238.37663067306	9729.37705464103	8094.22887300704	5004.85790268169	8488.43906905264	9127.5945384306	7448.46924306663	9359.16124542076	12507.5071749615	11823.2147643468	10775.2512890662	12237.4113573648	10489.0753765976	13287.5028059605	17137.2926132905	14719.9380344067	17554.4039930451	10441.0914053064	12271.34258332	11660.7428774167	16883.015828798	11907.9710394362	8463.72408873029	12793.3741229601	9289.5807501792	7732.80885152344	10848.7638074057	12130.0223211268	8974.88979735658	7610.1336207918	11129.8975083823	8185.26429587625	11542.1127129165	17854.2634382286	9297.18703854388	11367.2056401543	16167.1134850117	11073.2398210019	19115.6273569492	14460.4755236538	14510.423718385	8502.19644483662	9141.70218800902	8703.069753267	13592.4825883378	15007.7205524054	13693.9577546842	13970.2425207448	13128.4508115249	12823.9581382917	18256.7663556642	16546.4988220178	11173.6352406726	10738.3207179141	10765.1443346217	12697.0979323486	14618.7564801758	13361.7554810724	9669.4868413534	14756.7640606879	8822.96389482205	10925.1414449228	11998.4334663607	11271.585545223	13388.795304537	10800.613152525	11833.9727115878	11366.4597511008	9931.0044257365	11251.0952835875	10864.218371878	9935.97897597095	8426.04458940307	11861.9150257862	5596.71968982589	7335.65877143119	7233.0574724389	9074.11197768479	6802.71700663346	6872.30375088017	6539.09270658727	6756.16093927615	4405.67726369688	20170.1337475625	11969.0297929034	12345.2181374194	12826.9924168954	13280.6212970488	16107.4400024686	8792.51821790643	11490.3525383646	11465.0538517701	10477.4778488128	14512.779693725	14300.7488043119	14364.222027437	14641.3689240644	12671.0861099895	11880.9260318611	12361.483811562	9147.35120036384	12117.9164206511	13451.2951350805	13474.7374851568	9045.75612270001	11999.5932163574	9621.34316654198	9923.3596525314	9229.26419265083	11720.1770024384	10053.8869088642	9363.62031231141	12198.5435433644	7861.90390720667	10963.1515472149	9603.48092658416	10061.6954126181	10766.3197858681	11069.4525880874	8003.86126901127	16979.5596878029	8921.89382903402	8017.50520271401	10433.1965440009	10506.1226230103	14082.5154870851	8506.75750256255	11957.8499627056	7658.58074562789	7297.35779363147	8882.23756795087	9055.06068696232	7835.69129322668
Asp	6050.22782237151	4746.50887383181	21692.3176371337	11286.584532298	11607.7427769619	11754.1476541138	14191.7897884976	23877.2401064517	18490.260915669	14873.7258725732	7487.37699530853	12029.0133258798	14935.7692916137	9883.07070930788	18744.6264032038	11331.6654634451	5869.13681450734	4491.84845023896	6670.5755778409	7661.52977777882	5832.26876969968	5361.90489519301	6941.04675219814	5764.29025502208	8214.5903347204	8244.55987477338	7206.09527660855	10494.8588385952	12554.9701761281	13121.4692330064	16502.2903355613	12241.0860274345	11002.3288165656	13844.1020244621	20900.0242721274	8048.03535000453	17076.1490849547	14966.4763183962	11515.8200056533	20652.5341859342	10883.8175957683	12146.4245122839	4501.71878442415	5695.39800162843	8594.82219191612	4906.53148597626	3203.79204186955	8570.38140051293	6503.31128475067	5475.46268160726	8495.96314328137	12515.2449191273	9993.96852722178	12363.4822403417	19175.9668844099	23124.8409016684	11727.6667099699	12938.6982779585	20016.1033063025	17429.0726523681	5885.46922757681	8487.79427161044	17268.2638505337	11765.935571588	10869.6951410009	13280.7228236124	11993.3939795554	4004.28408795933	8316.77056752503	2611.95436399531	2072.97177861303	6285.66342598638	6779.88126845581	8424.36024530976	6752.90252254472	11959.7038275016	7584.28545961045	8331.34597941184	11278.3357059985	13434.8264699258	13247.7886155237	9670.99752048431	14929.9619037038	22115.2887334973	18418.1048214353	4916.20634939127	15503.8389050746	14178.2497527328	15106.5823125528	15518.1043416218	13497.2581610391	9444.12865705747	5661.12903070591	12006.2520170977	5137.12455074659	3500.29580928289	5570.63683640403	4447.45712683097	3244.13114431496	9611.48322232913	6121.59338270886	5983.44411045084	6131.52633020188	4316.48915745293	5687.05911414173	5971.04891675393	8844.02273104615	5816.010830007	3844.18165092234	5461.7878777851	3246.50152715385	11373.4090744605	10820.2390270535	7124.99360918103	6019.17212306872	4190.99623021041	10742.3931497411	10565.1689488293	11254.4587574196	11432.0964829011	11992.1007053729	5538.09425456438	11730.1385815727	12682.0004896304	13765.7893929182	15334.1686425105	16423.8821261674	17678.9536246251	15533.025378547	15055.7958627438	13831.1359491388	14249.6969888128	5789.08245855315	17090.2140431198	15223.7795983099	14065.3147105428	14547.2713861224	28039.7447773096	15016.2866976898	14208.0893480335	13515.0868224861	10322.9798180698	4208.43559005021	6964.90701106966	6895.75215634203	6036.94312781635	3422.62459926751	5712.45776333712	7640.11984572653	6113.74906820082	5348.50326765648	4034.64442282029	2663.87472257966	7447.70783206094	6656.73281596289	11229.2212600113	6261.95355816782	6628.69147358365	15513.7648110625	5540.30584345379	5330.38524551945	8451.18630457098	19124.413122361	13531.2730175079	17789.5917423863	18718.0383974519	14086.6607925295	13679.147063614	17247.9246707337	11737.1379679569	17094.954782216	4529.49044742177	13903.4738405574	17399.7814920798	14444.6760617127	17675.4267987745	11582.8298912218	17960.2450450589	20315.5805091524	4373.10668890963	4075.34932773734	13932.5961305488	7935.89212144563	7488.60481266299	6606.40770435801	5072.53946721135	14630.2967600804	12518.6940450799	12689.0874530514	13226.603949325	11497.7829645681	13486.7249082128
Ser	5524.14092659421	6012.37648459894	5080.49590115091	2313.08600845229	3247.18481241556	2553.8299403993	2442.00382877144	2343.53786054956	2499.77191411629	2192.85373520838	6602.07134685404	1772.27248611367	2693.54138452855	3110.38963892566	2031.75625943365	2384.56889793573	7369.79531438555	6993.90770143905	6854.60400384851	6339.48245274333	6214.71142374544	5850.15221413601	5814.69503883954	6915.65957425545	7122.94041225921	5240.43315605327	5119.29449360963	6270.80725560969	2480.31277492984	1865.34771243342	2480.10744037087	2458.70785177216	1449.0434844736	2268.71637114368	2405.73329698579	5975.96200979112	2784.50203905618	2101.8937926703	2786.65830940937	2329.12736469167	2557.07584001761	7808.21006212528	8282.93830048442	6588.89589918581	5856.46700884169	6753.28426482811	7660.68746867817	5798.55594705489	4846.95720809831	4746.22300505871	3656.20718368763	8214.06076021526	5633.99072920538	2402.63011992556	2532.72174334292	2139.7131568326	2449.98981535624	2715.83130383274	2365.61458596387	2662.87327590797	5527.79017844514	2764.93729112834	1965.44670895524	2657.25391058167	2973.85657575741	2648.68458293451	2786.31280745634	8143.00368369654	6598.89151224651	5327.08085246596	7077.69563925074	5806.13579932347	6393.6746695959	6187.26018095669	7033.84746631488	7598.46401475295	3890.36194357366	5954.97157243336	2353.01379866058	3158.14058377052	2854.49046947075	1960.20905131681	2514.07820714472	2262.00685328628	2034.23641251046	5895.89564397447	2647.12062997496	2462.90900868248	2285.02430094176	2894.89354681285	2735.97403881073	2737.01026120432	6932.74602953366	6074.0420290135	5677.26358313727	5228.99112919642	6380.86235921281	7430.18705758138	5031.15388349405	5657.60276445449	5346.89884867086	6362.19734759126	6254.94529851662	4052.81487866417	6282.91386620765	5735.69532892773	5107.15014457994	6924.82022687444	4897.41494184296	7070.02571656195	5317.03934304965	5398.42398664324	4834.75295182597	5465.77744313878	5826.51211372506	6996.34304478893	2572.34309736909	2491.48890229006	3063.81936004667	2346.12964540293	2197.95152434093	6100.87313699561	2440.49637538395	2345.79283455796	2384.00034864856	2667.05759297705	3467.59768938082	2555.08897097802	2338.13010691426	2218.79661950787	2429.844765418	2083.45994766097	6686.50373612445	1564.42808173663	2505.96942965634	2338.19975625161	2285.49090147832	1903.9741851901	2320.46547048498	2450.94505635524	2401.88051938228	2116.99374913073	7693.52808920738	6867.42253839505	7774.22151080202	7758.26836649817	8655.62992289895	6951.58816277538	5932.8473193556	7220.24613160757	6058.3845139079	5900.59413240833	7192.03931967018	5977.12062522676	7044.42650513222	7394.55110781858	6336.1840106336	4946.37472113532	4877.02185851394	6717.00552622006	7382.42753425345	8582.44256112635	3167.6835386319	2469.18028767591	3014.60371246294	2658.330852219	2619.83517316913	2980.44301199077	2427.21740094702	2883.79321493234	2796.94617563351	5807.68394835232	2348.39136432878	2879.04962780715	2678.46849928744	2822.04859751411	3270.34207740039	2546.73860379955	2983.19329066806	6846.48984847286	9060.61885183369	5327.39686561027	5586.04946051035	6332.56832492646	6068.33916695348	5277.44401298986	2557.57348514969	2676.0607495135	3209.0641870889	2687.45394415101	3258.78002368103	2104.96854314193
